numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
2,21,82614,82614,286918,269885,50,48,0,12853,0,3,74360,3713120991,22481469440,9059696640,50513,4020963167,0,0,20,20,10,10,840,420,420,0,840,20,4
2,21,83659,83658,286003,269459,38,42,0,12331,0,3,74358,3713120991,22481469440,9059696640,50513,4016449030,0,0,20,20,11,9,840,462,378,0,840,20,5
2,21,79900,79899,292875,270552,38,42,0,15491,0,3,74360,3713120991,22481469440,9059696640,50513,4056898804,0,0,20,20,10,10,840,420,420,0,840,20,10
2,21,79064,79063,285811,270265,50,49,0,10938,0,3,74360,3713120991,22481469440,9059696640,50513,4029914114,0,0,20,20,10,10,840,420,420,0,840,20,2
2,21,85576,85576,294114,271220,36,42,0,16184,0,3,74360,3713120991,22481469440,9059696640,50513,4056911030,0,0,20,20,10,10,840,420,420,0,840,20,8
2,21,80059,80058,285492,270201,84,86,0,8662,0,3,74360,3713120991,22481469440,9059696640,50513,4030638789,0,0,20,20,10,10,840,420,420,0,840,20,1
2,21,79138,79138,280893,267757,53,44,0,8644,0,3,74360,3713120991,22481469440,9059696640,50513,4029914114,0,0,20,20,10,10,840,420,420,0,840,20,3
2,21,84320,84320,287844,271036,44,42,0,12767,0,3,74358,3713120991,22481469440,9059696640,50513,4016449030,0,0,20,20,11,9,840,462,378,0,840,20,6
2,21,81412,81412,282041,268124,40,45,0,10214,0,3,74360,3713120991,22481469440,9059696640,50513,4016436833,0,0,20,20,10,10,840,420,420,0,840,20,7
2,21,84103,84103,290421,269924,44,46,0,14062,0,3,74360,3713120991,22481469440,9059696640,50513,4056911030,0,0,20,20,10,10,840,420,420,0,840,20,9
