numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
2,21,108160,108159,390100,367752,48,52,0,15000,0,3,83040,6166372417,40332427264,17918066688,50513,4056911030,0,0,20,20,10,10,840,420,420,0,840,20,6
2,21,105306,105305,393317,369428,44,48,0,17279,0,3,83040,6176041121,40399536128,17951621120,50513,4049088592,0,0,20,20,10,10,840,420,420,0,840,20,8
2,21,105137,105137,391641,368594,79,49,0,16166,0,3,83040,6156694482,40265318400,17884512256,50513,4056898269,0,0,20,20,10,10,840,420,420,0,840,20,10
2,21,106774,106774,399069,370886,56,55,0,20794,0,3,83040,6184093902,40466644992,17985175552,50513,4056898269,0,0,20,20,10,10,840,420,420,0,840,20,2
2,21,106394,106394,385162,366326,49,51,0,12305,0,4,83040,6166357400,40332427264,17918066688,50513,4056898804,0,0,20,20,10,10,840,420,420,0,840,20,7
2,21,103464,103464,392809,369594,57,53,0,15848,0,3,83040,6156694482,40265318400,17884512256,50513,4049088592,0,0,20,20,10,10,840,420,420,0,840,20,9
2,21,107788,107787,389551,367977,54,54,0,14825,0,3,83040,6166372417,40332427264,17918066688,50513,4052384696,0,0,20,20,10,10,840,420,420,0,840,20,3
2,21,105783,105783,395114,370207,52,54,0,17876,0,3,83040,6166372231,40332427264,17918066688,50513,4049088592,0,0,20,20,10,10,840,420,420,0,840,20,4
2,21,109737,109736,393872,371010,49,54,0,16175,0,3,83040,6156694668,40265318400,17884512256,50513,4052384696,0,0,20,20,10,10,840,420,420,0,840,20,5
2,21,109031,109030,405984,377791,50,52,0,18277,0,3,83040,6221142996,40735080448,18119393280,50513,4049088592,0,0,20,20,10,10,840,420,420,0,840,20,1
