numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
3,81,342,312,393,370,126,143,0,6,0,7,237191,0,0,1374014464,120,2378752,0,0,40,40,36,4,1680,1512,168,0,1680,40,4
3,81,288,259,304,319,97,132,0,0,0,6,237277,0,0,1374014464,120,2378752,0,0,40,40,36,4,1680,1512,168,0,1680,40,7
3,81,303,275,309,313,99,129,0,6,0,6,236675,0,0,1374014464,120,2378752,0,0,40,40,36,4,1680,1512,168,0,1680,40,8
3,81,512,450,500,494,179,200,0,0,0,8,238051,0,0,1374014464,120,2378752,0,0,40,40,36,4,1680,1512,168,0,1680,40,1
3,81,315,288,314,320,103,131,0,0,0,6,237492,0,0,1374014464,120,2378752,0,0,40,40,36,4,1680,1512,168,0,1680,40,9
3,81,312,285,352,351,104,131,0,0,0,6,237320,0,0,1374014464,120,2378752,0,0,40,40,36,4,1680,1512,168,0,1680,40,2
3,81,348,317,381,367,110,139,0,0,0,7,237019,0,0,1374014464,120,2378752,0,0,40,40,36,4,1680,1512,168,0,1680,40,5
3,81,310,284,318,329,107,130,0,0,0,6,236933,0,0,1374014464,120,2378752,0,0,40,40,36,4,1680,1512,168,0,1680,40,6
3,81,354,322,343,329,109,138,0,0,0,6,238137,0,0,1374014464,120,2378752,0,0,40,40,36,4,1680,1512,168,0,1680,40,10
3,81,374,314,415,366,109,136,0,6,0,7,236761,0,0,1374014464,120,2378752,0,0,40,40,36,4,1680,1512,168,0,1680,40,3
