numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
3,281,1421,1416,2170,2127,408,526,0,15,2,369,905926,0,0,6727794688,120,2378752,0,0,506025,600,480,120,5771315,5643380,127935,0,5771315,506025,3
3,281,1429,1425,2244,2193,367,515,0,41,0,460,905969,0,0,6727794688,120,2378752,0,0,506025,600,480,120,5771315,5643380,127935,0,5771315,506025,5
3,281,1407,1403,2183,2144,388,502,0,38,0,396,905969,0,0,6727794688,120,2378752,0,0,506025,600,480,120,5771315,5643380,127935,0,5771315,506025,9
3,281,1354,1350,2076,2023,384,481,0,24,3,349,905969,0,0,6727794688,120,2378752,0,0,506025,600,480,120,5771315,5643380,127935,0,5771315,506025,4
3,281,1520,1516,2371,2256,410,528,0,31,4,431,905883,0,0,6727794688,120,2378752,0,0,506025,600,480,120,5771315,5643380,127935,0,5771315,506025,7
3,281,1407,1403,2201,2115,393,515,0,28,5,356,905969,0,0,6727794688,120,2378752,0,0,506025,600,480,120,5771315,5643380,127935,0,5771315,506025,8
3,281,1351,1347,2176,2042,366,490,0,34,4,369,906012,0,0,6727794688,120,2378752,0,0,506025,600,480,120,5771315,5643380,127935,0,5771315,506025,2
3,281,1355,1351,2094,2058,347,478,0,0,0,399,905840,0,0,6727794688,120,2378752,0,0,506025,600,480,120,5771315,5643380,127935,0,5771315,506025,6
3,281,1350,1346,2091,2064,374,492,0,22,0,368,905969,0,0,6727794688,120,2378752,0,0,506025,600,480,120,5771315,5643380,127935,0,5771315,506025,10
3,281,1409,1405,2179,2136,414,523,0,15,0,393,905926,0,0,6727794688,120,2378752,0,0,506025,600,480,120,5771315,5643380,127935,0,5771315,506025,1
