numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
2,41,556,556,1636,1554,69,82,0,0,0,7,143560,0,0,2854748160,559,23577660,0,0,40,40,20,20,1680,840,840,0,1680,40,1
2,41,585,585,1718,1549,69,83,0,7,0,7,143603,0,0,2854748160,559,23577660,0,0,40,40,20,20,1680,840,840,0,1680,40,7
2,41,554,553,1684,1577,71,83,0,14,0,7,143646,0,0,2854748160,559,23577660,0,0,40,40,20,20,1680,840,840,0,1680,40,10
2,41,534,534,1680,1551,63,81,0,15,0,8,143646,0,0,2854748160,559,23577660,0,0,40,40,20,20,1680,840,840,0,1680,40,3
2,41,543,543,1613,1526,65,80,0,0,0,7,143560,0,0,2854748160,559,23577660,0,0,40,40,20,20,1680,840,840,0,1680,40,6
2,41,541,541,1618,1533,66,81,0,0,0,7,143560,0,0,2854748160,559,23577660,0,0,40,40,20,20,1680,840,840,0,1680,40,4
2,41,570,570,1809,1688,74,84,0,0,0,8,143560,0,0,2854748160,559,23577660,0,0,40,40,20,20,1680,840,840,0,1680,40,8
2,41,621,620,2008,1748,142,88,0,0,0,13,143560,0,0,2854748160,559,23577660,0,0,40,40,20,20,1680,840,840,0,1680,40,2
2,41,561,561,1664,1562,62,78,0,6,0,7,143603,0,0,2854748160,559,23577660,0,0,40,40,20,20,1680,840,840,0,1680,40,5
2,41,569,569,1739,1634,68,82,0,8,0,7,143603,0,0,2854748160,559,23577660,0,0,40,40,20,20,1680,840,840,0,1680,40,9
