numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
3,81,708,646,1950,1816,107,141,0,28,0,7,1731489,0,0,1650063360,559,23661648,0,0,40,40,19,21,1680,798,882,0,1680,40,4
3,81,713,636,2021,1907,110,140,0,32,0,7,1731532,0,0,1650063360,559,23661648,0,0,40,40,19,21,1680,798,882,0,1680,40,10
3,81,722,650,1917,1873,119,142,0,27,0,7,1731489,0,0,1650063360,559,23661648,0,0,40,40,19,21,1680,798,882,0,1680,40,1
3,81,664,592,1759,1726,108,139,0,10,0,7,1731403,0,0,1650063360,559,23661648,0,0,40,40,19,21,1680,798,882,0,1680,40,7
3,81,679,580,1759,1730,116,137,0,0,0,7,1731618,0,0,1650063360,559,23661648,0,0,40,40,21,19,1680,882,798,0,1680,40,2
3,81,704,631,1810,1740,122,146,0,31,0,7,1731575,0,0,1650063360,559,23661648,0,0,40,40,19,21,1680,798,882,0,1680,40,5
3,81,664,585,1785,1666,117,137,0,60,0,7,1731790,0,0,1650063360,559,23661648,0,0,40,40,21,19,1680,882,798,0,1680,40,3
3,81,652,591,1769,1741,118,140,0,9,0,7,1731919,0,0,1650063360,559,23661648,0,0,40,40,21,19,1680,882,798,0,1680,40,8
3,81,652,591,1785,1735,128,138,0,23,0,7,1731575,0,0,1650063360,559,23661648,0,0,40,40,21,19,1680,882,798,0,1680,40,6
3,81,716,648,1846,1786,126,143,0,19,0,8,1731532,0,0,1650063360,559,23661648,0,0,40,40,21,19,1680,882,798,0,1680,40,9
