numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
2,41,7293,7292,16444,15822,64,81,0,57,0,7,143848,0,0,5410652160,5089,368122137,0,0,40,40,35,5,1680,1470,210,0,1680,40,1
2,41,7366,7366,16254,15679,73,84,0,39,0,7,143807,0,0,5410652160,5089,368152477,0,0,40,40,36,4,1680,1512,168,0,1680,40,6
2,41,7313,7312,16186,15566,68,82,0,41,0,7,143762,0,0,5410652160,5089,368122137,0,0,40,40,35,5,1680,1470,210,0,1680,40,10
2,41,7376,7376,16237,15652,69,84,9,20,0,7,143721,0,0,5410652160,5089,368152477,0,0,40,40,36,4,1680,1512,168,0,1680,40,2
2,41,7370,7370,16246,15683,73,86,0,31,0,8,143721,0,0,5410652160,5089,368152477,0,0,40,40,36,4,1680,1512,168,0,1680,40,5
2,41,7407,7407,16292,15704,64,81,0,50,0,8,143764,0,0,5410652160,5089,368152477,0,0,40,40,36,4,1680,1512,168,0,1680,40,9
2,41,7349,7348,16159,15562,74,85,0,38,0,7,143721,0,0,5410652160,5089,368152477,0,0,40,40,36,4,1680,1512,168,0,1680,40,3
2,41,7251,7251,16035,15457,63,80,0,34,0,7,143764,0,0,5410652160,5089,368152477,0,0,40,40,36,4,1680,1512,168,0,1680,40,4
2,41,7341,7340,16178,15568,67,81,0,41,0,8,143807,0,0,5410652160,5089,368152477,0,0,40,40,36,4,1680,1512,168,0,1680,40,7
2,41,7380,7380,16441,15844,77,81,0,55,0,8,143805,0,0,5410652160,5089,368122137,0,0,40,40,35,5,1680,1470,210,0,1680,40,8
