numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
2,41,9780,9779,23087,21971,87,93,0,547,0,8,162453,0,0,10108272640,5089,368150881,0,0,40,40,34,6,1680,1428,252,0,1680,40,2
2,41,9792,9791,23179,22217,87,100,0,306,0,7,161894,0,0,10108272640,5089,368092666,0,0,40,40,34,6,1680,1428,252,0,1680,40,10
2,41,9942,9942,23415,22328,86,98,0,486,0,7,162195,0,0,10108272640,5089,368150901,0,0,40,40,34,6,1680,1428,252,0,1680,40,4
2,41,9669,9668,22907,21898,100,106,0,396,0,7,162152,0,0,10108272640,5089,368092666,0,0,40,40,34,6,1680,1428,252,0,1680,40,5
2,41,9696,9695,22888,21876,94,97,0,387,0,7,162109,0,0,10108272640,5089,368092666,0,0,40,40,34,6,1680,1428,252,0,1680,40,6
2,41,9632,9631,22737,21859,78,95,0,322,0,7,161937,0,0,10108272640,5089,368150881,0,0,40,40,34,6,1680,1428,252,0,1680,40,8
2,41,9709,9708,22874,21818,90,97,0,485,0,7,162238,0,0,10108272640,5089,368180051,0,0,40,40,34,6,1680,1428,252,0,1680,40,3
2,41,10135,10134,23578,22217,90,105,0,797,0,8,162453,0,0,10108272640,5089,368150901,0,0,40,40,34,6,1680,1428,252,0,1680,40,1
2,41,9639,9639,22776,21705,86,97,0,454,0,7,162152,0,0,10108272640,5089,368092666,0,0,40,40,34,6,1680,1428,252,0,1680,40,7
2,41,9666,9666,22788,21843,85,100,0,363,0,7,162023,0,0,10108272640,5089,368150901,0,0,40,40,34,6,1680,1428,252,0,1680,40,9
