numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
3,281,16124,16120,57544,56921,386,545,0,473,0,1381,908127,0,0,8388608000,5089,368998176,0,0,50486551,600,380,220,575063177,561922944,13140233,0,575063177,50486551,2
3,281,16594,16590,58191,57482,369,545,0,450,0,1414,907955,0,0,8388608000,5089,368998176,0,0,50486551,600,400,200,575063177,561923784,13139393,0,575063177,50486551,7
3,281,16506,16502,59039,58463,413,559,0,411,0,1408,907869,0,0,8388608000,5089,368998176,0,0,50486551,600,400,200,575063177,561923784,13139393,0,575063177,50486551,9
3,281,16454,16449,58690,58008,374,541,0,464,0,1397,907955,0,0,8388608000,5089,368998176,0,0,50486551,600,380,220,575063177,561922944,13140233,0,575063177,50486551,3
3,281,16181,16177,57595,56966,366,532,0,446,0,1385,907998,0,0,8388608000,5089,368998176,0,0,50486551,600,380,220,575063177,561922944,13140233,0,575063177,50486551,4
3,281,16592,16585,58819,58094,387,546,0,451,0,1409,907912,0,0,8388608000,5089,368998176,0,0,50486551,600,380,220,575063177,561922944,13140233,0,575063177,50486551,10
3,281,16364,16359,57643,57044,373,530,0,442,0,1377,907869,0,0,8388608000,5089,368998176,0,0,50486551,600,400,200,575063177,561923784,13139393,0,575063177,50486551,5
3,281,16522,16518,58665,57993,376,551,0,470,0,1387,907912,0,0,8388608000,5089,368998176,0,0,50486551,600,380,220,575063177,561922944,13140233,0,575063177,50486551,8
3,281,16432,16429,58047,57279,373,537,0,609,0,1387,908342,0,0,8388608000,5089,368998176,0,0,50486551,600,400,200,575063177,561923784,13139393,0,575063177,50486551,1
3,281,16348,16343,58272,57664,373,542,0,445,0,1380,907955,0,0,8388608000,5089,368998176,0,0,50486551,600,380,220,575063177,561922944,13140233,0,575063177,50486551,6
