numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
2,41,101719,101718,381797,362163,77,94,0,15828,0,7,166082,6286727457,43553652736,35500589056,50535,3975362368,0,0,40,40,19,21,1680,798,882,0,1680,40,2
2,41,102247,102247,381234,362288,83,98,0,15050,0,7,166080,6276995355,43486543872,35433480192,50535,3975356213,0,0,40,40,20,20,1680,840,840,0,1680,40,4
2,41,99927,99926,376318,360758,79,94,0,11919,0,7,166080,6291603240,43587207168,35534143488,50535,3971910268,0,0,40,40,20,20,1680,840,840,0,1680,40,10
2,41,104223,104222,388725,369101,83,100,0,16239,0,7,166080,6276986865,43486543872,35433480192,50535,3971910272,0,0,40,40,20,20,1680,840,840,0,1680,40,1
2,41,101685,101685,381107,362977,83,96,0,14428,0,7,166080,6281864115,43520098304,35467034624,50535,3971910268,0,0,40,40,20,20,1680,840,840,0,1680,40,9
2,41,99060,99060,376743,360860,78,94,0,12453,0,7,166082,6276993608,43486543872,35433480192,50535,3971922788,0,0,40,40,19,21,1680,798,882,0,1680,40,5
2,41,99899,99898,379191,361433,79,97,0,14172,0,7,166080,6286732733,43553652736,35500589056,50535,3971916633,0,0,40,40,20,20,1680,840,840,0,1680,40,3
2,41,100749,100749,380198,363373,87,98,0,12140,0,7,166082,6272127359,43452989440,35399925760,50535,3975362368,0,0,40,40,21,19,1680,882,798,0,1680,40,7
2,41,99056,99056,380488,362531,85,96,0,14559,0,7,166080,6276993608,43486543872,35433480192,50535,3971916633,0,0,40,40,20,20,1680,840,840,0,1680,40,6
2,41,97392,97391,373073,360075,87,97,0,9615,0,7,166080,6276993608,43486543872,35433480192,50535,3971916633,0,0,40,40,20,20,1680,840,840,0,1680,40,8
