numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
2,81,300,299,651,398,126,157,0,43,0,14,287206,0,0,5394006016,160,2390158,0,0,80,80,40,40,3360,1680,1680,0,3360,80,3
2,81,252,252,544,387,110,146,0,0,0,14,287120,0,0,5394006016,160,2390158,0,0,80,80,40,40,3360,1680,1680,0,3360,80,7
2,81,272,271,614,385,118,148,0,7,0,14,287163,0,0,5394006016,160,2390158,0,0,80,80,40,40,3360,1680,1680,0,3360,80,10
2,81,263,263,571,391,118,154,0,6,0,14,287163,0,0,5394006016,160,2390158,0,0,80,80,40,40,3360,1680,1680,0,3360,80,1
2,81,260,259,601,386,116,146,0,18,0,14,287206,0,0,5394006016,160,2390158,0,0,80,80,40,40,3360,1680,1680,0,3360,80,6
2,81,287,287,580,385,169,145,0,5,0,13,287163,0,0,5394006016,160,2390158,0,0,80,80,40,40,3360,1680,1680,0,3360,80,8
2,81,239,238,541,398,119,156,0,0,0,14,287120,0,0,5394006016,160,2390158,0,0,80,80,40,40,3360,1680,1680,0,3360,80,2
2,81,269,268,618,395,121,154,0,0,0,14,287120,0,0,5394006016,160,2390158,0,0,80,80,40,40,3360,1680,1680,0,3360,80,4
2,81,255,254,565,397,129,150,0,0,0,14,287120,0,0,5394006016,160,2390158,0,0,80,80,40,40,3360,1680,1680,0,3360,80,5
2,81,257,257,554,394,118,148,0,0,0,15,287120,0,0,5394006016,160,2390158,0,0,80,80,40,40,3360,1680,1680,0,3360,80,9
