numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
3,161,472,443,460,484,173,247,0,7,0,13,315019,0,0,2738460672,160,2407416,0,0,80,80,72,8,3360,3024,336,0,3360,80,2
3,161,534,501,532,510,197,266,0,0,0,14,314976,0,0,2738460672,160,2407416,0,0,80,80,72,8,3360,3024,336,0,3360,80,4
3,161,548,508,531,495,249,252,0,8,0,14,315019,0,0,2738460672,160,2407416,0,0,80,80,72,8,3360,3024,336,0,3360,80,5
3,161,511,484,449,476,184,247,0,8,0,13,315019,0,0,2738460672,160,2407416,0,0,80,80,72,8,3360,3024,336,0,3360,80,7
3,161,558,526,537,523,218,272,0,29,0,15,315062,0,0,2738460672,160,2407416,0,0,80,80,72,8,3360,3024,336,0,3360,80,10
3,161,629,565,648,608,246,313,0,6,0,15,315019,0,0,2738460672,160,2407416,0,0,80,80,72,8,3360,3024,336,0,3360,80,1
3,161,527,494,491,497,180,247,0,0,0,13,314976,0,0,2738460672,160,2407416,0,0,80,80,72,8,3360,3024,336,0,3360,80,6
3,161,516,486,519,516,180,258,0,10,0,15,315019,0,0,2738460672,160,2407416,0,0,80,80,72,8,3360,3024,336,0,3360,80,9
3,161,506,477,473,472,173,250,0,8,0,17,315019,0,0,2738460672,160,2407416,0,0,80,80,72,8,3360,3024,336,0,3360,80,8
3,161,520,486,512,495,192,257,0,14,0,15,315062,0,0,2738460672,160,2407416,0,0,80,80,72,8,3360,3024,336,0,3360,80,3
