numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
3,361,1668,1664,2618,2564,460,629,0,33,10,731,905969,0,0,6727794688,160,2407416,0,0,506025,1000,750,250,5798752,5642929,155823,0,5798752,506025,2
3,361,1733,1728,2721,2752,511,676,0,19,1,771,905926,0,0,6727794688,160,2407416,0,0,506025,1000,750,250,5798752,5642929,155823,0,5798752,506025,9
3,361,1717,1712,2716,2699,486,653,0,21,7,748,905883,0,0,6727794688,160,2407416,0,0,506025,1000,750,250,5798752,5642929,155823,0,5798752,506025,3
3,361,1654,1650,2580,2537,436,625,0,51,26,737,905926,0,0,6727794688,160,2407416,0,0,506025,1000,750,250,5798752,5642929,155823,0,5798752,506025,5
3,361,1740,1736,2725,2689,467,643,0,14,8,774,905926,0,0,6727794688,160,2407416,0,0,506025,1000,750,250,5798752,5642929,155823,0,5798752,506025,8
3,361,1599,1594,2502,2542,444,608,0,6,2,698,905883,0,0,6727794688,160,2407416,0,0,506025,1000,750,250,5798752,5642929,155823,0,5798752,506025,10
3,361,1667,1661,2700,2606,465,619,0,41,13,713,906012,0,0,6727794688,160,2407416,0,0,506025,1000,750,250,5798752,5642929,155823,0,5798752,506025,7
3,361,1632,1627,2601,2547,438,600,0,27,10,722,905926,0,0,6727794688,160,2407416,0,0,506025,1000,750,250,5798752,5642929,155823,0,5798752,506025,1
3,361,1627,1623,2552,2560,447,621,0,8,7,735,905883,0,0,6727794688,160,2407416,0,0,506025,1000,750,250,5798752,5642929,155823,0,5798752,506025,4
3,361,1719,1714,2654,2672,485,640,0,14,4,741,905926,0,0,6727794688,160,2407416,0,0,506025,1000,750,250,5798752,5642929,155823,0,5798752,506025,6
