numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
3,161,793,727,2009,1956,195,262,0,26,0,15,1857340,0,0,3216240640,628,23765320,0,0,80,80,40,40,3360,1680,1680,0,3360,80,2
3,161,773,708,1917,1885,170,251,0,10,0,14,1856523,0,0,3216240640,628,23765320,0,0,80,80,40,40,3360,1680,1680,0,3360,80,5
3,161,822,745,2071,2003,184,261,0,30,0,14,1857383,0,0,3216240640,628,23765320,0,0,80,80,40,40,3360,1680,1680,0,3360,80,10
3,161,847,770,2176,2040,216,266,0,25,0,15,1857641,0,0,3216240640,628,23765320,0,0,80,80,40,40,3360,1680,1680,0,3360,80,1
3,161,799,732,2014,1985,190,262,0,0,0,14,1858243,0,0,3216240640,628,23765320,0,0,80,80,40,40,3360,1680,1680,0,3360,80,6
3,161,803,738,2037,1902,181,262,0,45,0,15,1858157,0,0,3216240640,628,23765320,0,0,80,80,40,40,3360,1680,1680,0,3360,80,3
3,161,803,738,2049,2008,183,259,0,26,0,15,1857684,0,0,3216240640,628,23765320,0,0,80,80,40,40,3360,1680,1680,0,3360,80,4
3,161,915,816,2263,2160,194,269,0,39,0,15,1858028,0,0,3216240640,628,23765320,0,0,80,80,40,40,3360,1680,1680,0,3360,80,7
3,161,798,733,2018,1951,193,259,0,17,0,14,1858802,0,0,3216240640,628,23765320,0,0,80,80,40,40,3360,1680,1680,0,3360,80,8
3,161,901,831,2225,2137,194,267,0,48,0,15,1857856,0,0,3216240640,628,23765320,0,0,80,80,40,40,3360,1680,1680,0,3360,80,9
