numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
3,361,15967,15961,59515,58939,463,649,0,410,0,1678,907939,0,0,8388608000,5148,371518008,0,0,50486551,1000,586,414,576087668,424809345,151278323,0,576087668,50486551,3
3,361,15960,15955,59841,59273,453,648,0,416,0,1696,907853,0,0,8388608000,5148,371518008,0,0,50486551,1000,586,414,576087668,424647910,151439758,0,576087668,50486551,6
3,361,15816,15810,59240,58695,453,636,0,401,0,1702,907898,0,0,8388608000,5148,371518008,0,0,50486551,1000,579,421,576087668,424804817,151282851,0,576087668,50486551,10
3,361,15795,15790,58824,58257,450,635,0,420,0,1711,907810,0,0,8388608000,5148,371518008,0,0,50486551,1000,586,414,576087668,425048071,151039597,0,576087668,50486551,2
3,361,15953,15948,59429,58808,442,660,0,421,0,1758,907898,0,0,8388608000,5148,371518008,0,0,50486551,1000,585,415,576087668,424707260,151380408,0,576087668,50486551,5
3,361,15758,15752,59049,58397,468,645,15,392,0,1701,907855,0,0,8388608000,5148,371518008,0,0,50486551,1000,583,417,576087668,425114233,150973435,0,576087668,50486551,9
3,361,16258,16253,60440,59788,451,653,0,448,0,1771,907943,0,0,8388608000,5148,371518008,0,0,50486551,1000,576,424,576087668,424283845,151803823,0,576087668,50486551,4
3,361,15643,15638,58468,57894,443,635,0,414,0,1705,907939,0,0,8388608000,5148,371518008,0,0,50486551,1000,586,414,576087668,424596384,151491284,0,576087668,50486551,8
3,361,15783,15779,59540,58876,452,640,0,510,0,1668,908152,0,0,8388608000,5148,371518008,0,0,50486551,1000,595,405,576087668,425492860,150594808,0,576087668,50486551,1
3,361,15852,15847,59801,59252,468,655,0,400,0,1729,907896,0,0,8388608000,5148,371518008,0,0,50486551,1000,586,414,576087668,424588380,151499288,0,576087668,50486551,7
