numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
2,81,73022,73022,273019,260740,162,204,0,5138,0,14,297319,3733855474,24494735360,35232153600,50570,4061394593,0,0,80,80,36,44,3360,1512,1848,0,3360,80,1
2,81,71994,71993,263535,255590,125,162,0,3134,0,13,297104,3733855474,24494735360,35232153600,50570,4061394589,0,0,80,80,36,44,3360,1512,1848,0,3360,80,6
2,81,70895,70894,263414,255029,130,163,0,3565,0,13,296930,3733855474,24494735360,35232153600,50570,4061391360,0,0,80,80,43,37,3360,1806,1554,0,3360,80,3
2,81,72706,72706,263926,255579,119,157,0,3385,0,13,297145,3733855474,24494735360,35232153600,50570,4061391383,0,0,80,80,37,43,3360,1554,1806,0,3360,80,5
2,81,72305,72305,265703,257460,113,156,0,3418,0,14,296887,3733855474,24494735360,35232153600,50570,4061391383,0,0,80,80,37,43,3360,1554,1806,0,3360,80,10
2,81,71622,71621,268541,257711,113,157,0,5535,0,13,297317,3733855474,24494735360,35232153600,50570,4062410170,0,0,80,80,43,37,3360,1806,1554,0,3360,80,2
2,81,71411,71410,266396,256899,113,158,0,4692,0,14,297186,3733855474,24494735360,35232153600,50570,4061388164,0,0,80,80,42,38,3360,1764,1596,0,3360,80,4
2,81,72302,72302,268891,259513,117,157,0,4254,0,14,296844,3733855474,24494735360,35232153600,50570,4061391383,0,0,80,80,37,43,3360,1554,1806,0,3360,80,8
2,81,71494,71493,261894,254344,122,162,0,2788,0,14,296844,3733855474,24494735360,35232153600,50570,4061391383,0,0,80,80,37,43,3360,1554,1806,0,3360,80,7
2,81,72472,72471,265209,256710,130,165,0,3486,0,14,296846,3733855474,24494735360,35232153600,50570,4061394593,0,0,80,80,44,36,3360,1848,1512,0,3360,80,9
