numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
2,81,89772,89772,343490,309028,161,194,0,28689,0,15,332166,3232999817,27179089920,61035511808,50570,4062406954,0,0,80,80,43,37,3360,1806,1554,0,3360,80,3
2,81,94385,94385,359862,313237,159,187,0,40051,0,16,332164,3232999817,27179089920,61035511808,50570,4062406974,0,0,80,80,38,42,3360,1596,1764,0,3360,80,7
2,81,97975,97974,369744,319639,236,267,0,43054,0,16,332164,3232999817,27179089920,61035511808,50570,4061388164,0,0,80,80,42,38,3360,1764,1596,0,3360,80,1
2,81,92674,92674,354976,312494,170,201,0,36020,0,16,332164,3232999817,27179089920,61035511808,50570,4059384869,0,0,80,80,38,42,3360,1596,1764,0,3360,80,5
2,81,92641,92641,356662,312776,156,192,0,37606,0,16,332164,3232999817,27179089920,61035511808,50570,4062406952,0,0,80,80,42,38,3360,1764,1596,0,3360,80,8
2,81,94327,94327,361726,313987,155,187,0,41234,0,15,332164,3232999817,27179089920,61035511808,50570,4062406952,0,0,80,80,42,38,3360,1764,1596,0,3360,80,2
2,81,94854,94854,350420,310884,155,181,0,33473,0,15,332164,3232999817,27179089920,61035511808,50570,4061384946,0,0,80,80,38,42,3360,1596,1764,0,3360,80,4
2,81,95039,95038,358597,314191,157,190,0,38206,0,16,332164,3232999817,27179089920,61035511808,50570,4061384936,0,0,80,80,42,38,3360,1764,1596,0,3360,80,9
2,81,95336,95335,364770,315404,163,189,0,41272,0,15,332164,3232999817,27179089920,61035511808,50570,4060406911,0,0,80,80,38,42,3360,1596,1764,0,3360,80,6
2,81,93850,93850,360829,313163,148,183,0,41174,0,15,332164,3232999817,27179089920,61035511808,50570,4062406952,0,0,80,80,42,38,3360,1764,1596,0,3360,80,10
