numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
3,361,147529,147524,568212,558405,538,724,0,8961,0,11138,914606,0,0,53687091200,50570,3980240493,0,0,504931085,1000,601,399,5758945726,4657436045,1101509681,0,5758945726,504931085,1
3,361,146218,146214,563472,555622,469,666,17,6961,0,11186,914606,0,0,53687091200,50570,3981259300,0,0,504931085,1000,605,395,5758945726,4656228074,1102717652,0,5758945726,504931085,8
3,361,145446,145441,561805,554007,499,681,0,7013,0,11159,914606,0,0,53687091200,50570,3980240493,0,0,504931085,1000,611,389,5758945726,4664353292,1094592434,0,5758945726,504931085,3
3,361,145879,145875,562955,555389,472,675,0,6569,0,11344,914606,0,0,53687091200,50570,3980240493,0,0,504931085,1000,607,393,5758945726,4658287357,1100658369,0,5758945726,504931085,7
3,361,146348,146343,563876,555593,471,669,0,7411,0,11282,914606,0,0,53687091200,50570,3980240493,0,0,504931085,1000,603,397,5758945726,4659265573,1099680153,0,5758945726,504931085,4
3,361,146852,146846,563348,555479,473,671,11,6894,0,11334,914606,0,0,53687091200,50570,3980240493,0,0,504931085,1000,605,395,5758945726,4656519508,1102426218,0,5758945726,504931085,10
3,361,145914,145909,563260,555981,506,691,0,6566,0,11161,914606,0,0,53687091200,50570,3980240493,0,0,504931085,1000,611,389,5758945726,4660551907,1098393819,0,5758945726,504931085,6
3,361,146685,146680,564207,556000,491,691,0,7028,0,11700,914606,0,0,53687091200,50570,3980240493,0,0,504931085,1000,599,401,5758945726,4656307150,1102638576,0,5758945726,504931085,2
3,361,145989,145985,562714,554924,481,679,0,6766,0,11255,914606,0,0,53687091200,50570,3980240493,0,0,504931085,1000,601,399,5758945726,4657458076,1101487650,0,5758945726,504931085,9
3,361,145962,145956,562415,554774,461,664,0,6722,1,11173,914606,0,0,53687091200,50570,3980240493,0,0,504931085,1000,599,401,5758945726,4657032339,1101913387,0,5758945726,504931085,5
