numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
4,205,675,708,1397,1019,342,403,0,18,55,98,1079635,0,0,13451329536,52,2338792,0,0,506025,1000,488,512,4006577,1929857,2076720,0,4006577,506025,4
4,205,609,693,1213,972,301,384,0,23,72,92,1079686,0,0,13451329536,52,2338792,0,0,506025,1000,500,500,4006577,2021089,1985488,0,4006577,506025,8
4,205,648,679,1299,1065,324,395,0,0,50,101,1079604,0,0,13451329536,52,2338792,0,0,506025,1000,502,498,4006577,2027958,1978619,0,4006577,506025,10
4,205,653,679,1330,991,343,398,0,0,85,94,1079604,0,0,13451329536,52,2338792,0,0,506025,1000,506,494,4006577,2049808,1956769,0,4006577,506025,3
4,205,635,712,1291,986,324,405,0,16,84,96,1079641,0,0,13451329536,52,2338792,0,0,506025,1000,497,503,4006577,2031126,1975451,0,4006577,506025,7
4,205,619,700,1210,962,308,386,0,0,29,93,1079592,0,0,13451329536,52,2338792,0,0,506025,1000,488,512,4006577,1930666,2075911,0,4006577,506025,9
4,205,622,734,1196,1048,319,398,0,0,24,94,1079600,0,0,13451329536,52,2338792,0,0,506025,1000,500,500,4006577,2040311,1966266,0,4006577,506025,5
4,205,635,675,1298,1006,343,402,0,15,97,100,1079614,0,0,13451329536,52,2338792,0,0,506025,1000,521,479,4006577,2160581,1845996,0,4006577,506025,6
4,205,753,788,1614,1071,340,412,1,17,74,108,1079698,0,0,13451329536,52,2338792,0,0,506025,1000,518,482,4006577,2126199,1880378,0,4006577,506025,2
4,205,585,662,1146,966,304,382,0,0,38,90,1079612,0,0,13451329536,52,2338792,0,0,506025,1000,506,494,4006577,2078127,1928450,0,4006577,506025,1
