numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
3,205,1487,1482,2007,1895,348,436,0,21,6,103,906286,0,0,6727794688,52,2338792,0,0,506025,1000,800,200,5788097,5656126,131971,0,5788097,506025,4
3,205,1355,1350,1850,1761,307,401,0,23,0,96,906286,0,0,6727794688,52,2338792,0,0,506025,1000,800,200,5788097,5656126,131971,0,5788097,506025,6
3,205,1314,1309,1743,1676,297,394,0,11,3,91,906243,0,0,6727794688,52,2338792,0,0,506025,1000,800,200,5788097,5656126,131971,0,5788097,506025,9
3,205,1438,1434,1959,1865,335,425,0,31,1,109,906286,0,0,6727794688,52,2338792,0,0,506025,1000,800,200,5788097,5656126,131971,0,5788097,506025,2
3,205,1391,1387,1880,1782,314,422,0,16,11,94,906286,0,0,6727794688,52,2338792,0,0,506025,1000,800,200,5788097,5656126,131971,0,5788097,506025,7
3,205,1387,1383,1831,1763,310,414,0,9,7,100,906243,0,0,6727794688,52,2338792,0,0,506025,1000,800,200,5788097,5656126,131971,0,5788097,506025,10
3,205,1449,1444,1983,1852,324,422,0,20,4,100,906286,0,0,6727794688,52,2338792,0,0,506025,1000,800,200,5788097,5656126,131971,0,5788097,506025,3
3,205,1383,1378,1840,1754,316,415,0,0,3,97,906200,0,0,6727794688,52,2338792,0,0,506025,1000,800,200,5788097,5656126,131971,0,5788097,506025,8
3,205,1424,1420,1951,1798,332,407,0,40,4,102,906329,0,0,6727794688,52,2338792,0,0,506025,1000,800,200,5788097,5656126,131971,0,5788097,506025,1
3,205,1543,1537,2115,1947,334,433,0,14,6,115,906243,0,0,6727794688,52,2338792,0,0,506025,1000,800,200,5788097,5656126,131971,0,5788097,506025,5
