numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
4,207,2112,2771,3441,3324,264,363,0,28,0,157,1079486,0,0,13642498048,509,23616696,0,0,5067210,1000,1000,0,40078688,40078688,0,0,40078688,5067210,2
4,207,2220,2272,3581,3553,335,403,0,8,0,160,1079400,0,0,13642498048,509,23616696,0,0,5067210,1000,1000,0,40078688,40078688,0,0,40078688,5067210,8
4,207,2101,2142,3394,3361,267,364,0,7,0,155,1079443,0,0,13642498048,509,23616696,0,0,5067210,1000,1000,0,40078688,40078688,0,0,40078688,5067210,4
4,207,2329,2380,3785,3698,337,414,0,8,0,167,1079443,0,0,13642498048,509,23616696,0,0,5067210,1000,1000,0,40078688,40078688,0,0,40078688,5067210,7
4,207,2273,2316,3681,3647,340,418,0,10,0,161,1079443,0,0,13642498048,509,23616696,0,0,5067210,1000,1000,0,40078688,40078688,0,0,40078688,5067210,9
4,207,2275,2922,3685,3621,326,403,0,15,0,165,1079443,0,0,13642498048,509,23616696,0,0,5067210,1000,1000,0,40078688,40078688,0,0,40078688,5067210,10
4,207,2234,2978,3622,3569,280,375,0,0,0,193,1079400,0,0,13642498048,509,23616696,0,0,5067210,1000,1000,0,40078688,40078688,0,0,40078688,5067210,3
4,207,2141,2187,3482,3445,285,380,0,16,0,160,1079443,0,0,13642498048,509,23616696,0,0,5067210,1000,1000,0,40078688,40078688,0,0,40078688,5067210,1
4,207,2206,2251,3534,3470,293,384,0,8,0,162,1079443,0,0,13642498048,509,23616696,0,0,5067210,1000,1000,0,40078688,40078688,0,0,40078688,5067210,5
4,207,2258,2884,3692,3662,334,404,0,8,0,163,1079443,0,0,13642498048,509,23616696,0,0,5067210,1000,1000,0,40078688,40078688,0,0,40078688,5067210,6
