numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
4,209,9463,13382,25303,25063,291,391,0,46,13,825,1079741,0,0,15125708800,5050,230800277,0,0,50486551,1000,506,494,398926189,199517007,199409182,0,398926189,50486551,2
4,209,9699,12964,26230,26002,336,425,0,52,7,828,1079788,0,0,15125708800,5050,230800277,0,0,50486551,1000,492,508,398926189,200114513,198811676,0,398926189,50486551,8
4,209,9784,13330,26713,26359,305,416,0,62,14,828,1079692,0,0,15125708800,5050,230800277,0,0,50486551,1000,503,497,398926189,199479160,199447029,0,398926189,50486551,4
4,209,9770,9990,26259,26032,348,423,0,62,11,835,1079827,0,0,15125708800,5050,230813024,0,0,50486551,1000,506,494,398926189,199103646,199822543,0,398926189,50486551,7
4,209,9602,9820,25739,25480,317,416,0,87,30,848,1079829,0,0,15125708800,5050,230813024,0,0,50486551,1000,507,493,398926189,199782502,199143687,0,398926189,50486551,10
4,209,9714,13214,26313,25836,300,412,0,167,11,854,1079692,0,0,15125708800,5050,230800277,0,0,50486551,1000,503,497,398926189,199402951,199523238,0,398926189,50486551,3
4,209,9757,13759,26284,26105,321,422,0,47,7,824,1079741,0,0,15125708800,5050,230800277,0,0,50486551,1000,494,506,398926189,199654874,199271315,0,398926189,50486551,6
4,209,9809,10020,26461,26257,306,415,0,68,3,835,1079741,0,0,15125708800,5050,230813024,0,0,50486551,1000,506,494,398926189,199440349,199485840,0,398926189,50486551,1
4,209,9555,13221,25762,25568,298,404,0,55,9,835,1079829,0,0,15125708800,5050,230800277,0,0,50486551,1000,493,507,398926189,199397808,199528381,0,398926189,50486551,5
4,209,9808,13270,26415,26090,306,417,0,52,17,833,1079782,0,0,15125708800,5050,230800277,0,0,50486551,1000,505,495,398926189,199488272,199437917,0,398926189,50486551,9
