numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
3,209,17867,17863,56902,56311,298,415,0,417,0,1148,908371,0,0,8388608000,5050,230813024,0,0,50486551,1000,503,497,574043287,286723289,287319998,0,574043287,50486551,1
3,209,17806,17801,57072,56526,275,409,0,378,0,1124,908152,0,0,8388608000,5050,230813024,0,0,50486551,1000,499,501,574043287,286510258,287533029,0,574043287,50486551,2
3,209,17958,17952,57293,56713,285,414,0,365,0,1129,908322,0,0,8388608000,5050,230813024,0,0,50486551,1000,500,500,574043287,286777097,287266190,0,574043287,50486551,7
3,209,17851,17845,57104,56566,281,414,0,372,0,1148,908367,0,0,8388608000,5050,230813024,0,0,50486551,1000,499,501,574043287,287295230,286748057,0,574043287,50486551,10
3,209,17855,17851,57229,56635,283,417,0,441,0,1131,908240,0,0,8388608000,5050,230813024,0,0,50486551,1000,502,498,574043287,286939941,287103346,0,574043287,50486551,4
3,209,18032,18028,57654,57049,307,426,0,416,0,1183,908199,0,0,8388608000,5050,230813024,0,0,50486551,1000,503,497,574043287,287277847,286765440,0,574043287,50486551,3
3,209,17716,17712,56807,56097,294,413,0,551,0,1134,908281,0,0,8388608000,5050,230813024,0,0,50486551,1000,501,499,574043287,287591719,286451568,0,574043287,50486551,6
3,209,17904,17900,57173,56558,298,421,0,417,0,1122,908152,0,0,8388608000,5050,230813024,0,0,50486551,1000,499,501,574043287,287010973,287032314,0,574043287,50486551,5
3,209,17718,17713,56395,55866,271,407,0,362,0,1129,908324,0,0,8388608000,5050,230813024,0,0,50486551,1000,501,499,574043287,286989296,287053991,0,574043287,50486551,9
3,209,17736,17732,56440,55902,287,409,0,365,0,1159,908238,0,0,8388608000,5050,230813024,0,0,50486551,1000,499,501,574043287,286827521,287215766,0,574043287,50486551,8
