numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
4,223,127584,129533,363914,359099,490,512,0,4028,3,8085,1174484,0,0,87660953600,50511,2357986088,0,0,504931085,4200,2390,1810,3990406445,2134811524,1855594921,0,3990406445,504931085,1
4,223,127279,160416,366380,359744,465,515,0,6096,6,8011,1174742,0,0,87660953600,50511,2357986088,0,0,504931085,4200,2380,1820,3990406445,2130304736,1860101709,0,3990406445,504931085,6
4,223,128321,130139,364526,359014,472,510,0,4984,1,7677,1174914,0,0,87660953600,50511,2357986088,0,0,504931085,4200,2390,1810,3990406445,2134269494,1856136951,0,3990406445,504931085,7
4,223,126933,128874,361186,357014,453,506,0,3683,1,7625,1174484,0,0,87660953600,50511,2357986088,0,0,504931085,4200,2390,1810,3990406445,2134926035,1855480410,0,3990406445,504931085,3
4,223,127749,160698,364370,359033,496,505,0,4719,10,7808,1174871,0,0,87660953600,50511,2357986088,0,0,504931085,4200,2390,1810,3990406445,2134810201,1855596244,0,3990406445,504931085,8
4,223,128414,130249,368034,361921,442,526,0,5624,4,7824,1174785,0,0,87660953600,50511,2357986088,0,0,504931085,4200,2380,1820,3990406445,2130393252,1860013193,0,3990406445,504931085,9
4,223,128478,130379,367423,361000,499,535,0,5337,0,7849,1174785,0,0,87660953600,50511,2357986088,0,0,504931085,4200,2390,1810,3990406445,2135353861,1855052584,0,3990406445,504931085,4
4,223,127081,128985,362779,358338,511,523,0,3905,2,7799,1174699,0,0,87660953600,50511,2357986088,0,0,504931085,4200,2390,1810,3990406445,2134007638,1856398807,0,3990406445,504931085,5
4,223,126842,128754,364776,358540,426,505,0,5695,28,7885,1174699,0,0,87660953600,50511,2357986088,0,0,504931085,4200,2380,1820,3990406445,2130546040,1859860405,0,3990406445,504931085,10
4,223,127763,129658,364038,359106,477,521,0,4385,2,7777,1174527,0,0,87660953600,50511,2357986088,0,0,504931085,4200,2390,1810,3990406445,2134827748,1855578697,0,3990406445,504931085,2
