numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
4,205,1033,1069,1230,1170,304,371,0,0,5,102,1079800,0,0,13451329536,53,8063368,0,0,506025,1000,800,200,6424282,3411680,3012602,0,6424282,506025,1
4,205,1038,1061,1241,1144,278,353,0,9,2,92,1079843,0,0,13451329536,53,8063368,0,0,506025,1000,800,200,6424282,3411680,3012602,0,6424282,506025,5
4,205,1035,1083,1221,1161,279,355,0,0,1,121,1079800,0,0,13451329536,53,8063368,0,0,506025,1000,800,200,6424282,3411680,3012602,0,6424282,506025,9
4,205,1018,1044,1214,1131,277,352,0,0,7,92,1079800,0,0,13451329536,53,8063368,0,0,506025,1000,800,200,6424282,3411680,3012602,0,6424282,506025,3
4,205,1049,1078,1241,1166,293,374,0,12,4,96,1079843,0,0,13451329536,53,8063368,0,0,506025,1000,800,200,6424282,3411680,3012602,0,6424282,506025,8
4,205,1027,1142,1236,1167,269,357,0,0,6,95,1079800,0,0,13451329536,53,8063368,0,0,506025,1000,800,200,6424282,3411680,3012602,0,6424282,506025,7
4,205,1023,1049,1242,1118,264,347,0,31,6,95,1079843,0,0,13451329536,53,8063368,0,0,506025,1000,800,200,6424282,3411680,3012602,0,6424282,506025,10
4,205,1080,1108,1309,1148,271,361,0,33,10,95,1079886,0,0,13451329536,53,8063368,0,0,506025,1000,800,200,6424282,3411680,3012602,0,6424282,506025,2
4,205,1053,1165,1254,1157,276,354,0,0,12,90,1079800,0,0,13451329536,53,8063368,0,0,506025,1000,800,200,6424282,3411680,3012602,0,6424282,506025,4
4,205,1071,1101,1243,1168,279,360,0,0,3,96,1079800,0,0,13451329536,53,8063368,0,0,506025,1000,800,200,6424282,3411680,3012602,0,6424282,506025,6
