numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
4,205,637,607,1248,1043,323,403,0,15,30,64,1000643,0,0,6723993600,53,8063368,0,0,241921,600,300,300,4152848,2080857,2071991,0,4152848,241921,3
4,205,610,582,1181,1049,315,401,0,8,9,65,1000649,0,0,6723993600,53,8063368,0,0,241921,600,297,303,4152848,2078472,2074376,0,4152848,241921,8
4,205,807,718,1402,1153,379,454,0,15,39,66,1000635,0,0,6723993600,53,8063368,0,0,241921,600,296,304,4152848,2077152,2075696,0,4152848,241921,1
4,205,690,662,1371,1049,303,399,0,34,53,64,1000680,0,0,6723993600,53,8063368,0,0,241921,600,303,297,4152848,2081570,2071278,0,4152848,241921,9
4,205,635,603,1262,1039,288,388,0,8,26,65,1000639,0,0,6723993600,53,8063368,0,0,241921,600,302,298,4152848,2079029,2073819,0,4152848,241921,7
4,205,669,637,1365,1046,320,411,0,35,31,64,1000731,0,0,6723993600,53,8063368,0,0,241921,600,301,299,4152848,2082200,2070648,0,4152848,241921,4
4,205,650,617,1265,1030,294,392,0,20,24,64,1000692,0,0,6723993600,53,8063368,0,0,241921,600,303,297,4152848,2072144,2080704,0,4152848,241921,10
4,205,631,592,1208,1052,327,405,0,7,15,66,1000639,0,0,6723993600,53,8063368,0,0,241921,600,298,302,4152848,2074726,2078122,0,4152848,241921,5
4,205,708,665,1346,1118,318,413,0,10,25,65,1000643,0,0,6723993600,53,8063368,0,0,241921,600,300,300,4152848,2068456,2084392,0,4152848,241921,2
4,205,674,643,1268,1067,315,396,0,32,16,67,1000680,0,0,6723993600,53,8063368,0,0,241921,600,297,303,4152848,2071997,2080851,0,4152848,241921,6
