numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
3,205,854,849,2188,2013,323,395,0,10,27,96,906041,0,0,6727794688,53,8063368,0,0,506025,1000,497,503,7843536,3936754,3906782,0,7843536,506025,1
3,205,960,955,2435,2142,362,444,0,24,29,114,906125,0,0,6727794688,53,8063368,0,0,506025,1000,498,502,7843536,3911509,3932027,0,7843536,506025,4
3,205,896,892,2262,2090,331,425,0,16,25,115,906076,0,0,6727794688,53,8063368,0,0,506025,1000,495,505,7843536,3910607,3932929,0,7843536,506025,7
3,205,941,935,2459,2144,360,432,0,39,52,105,906125,0,0,6727794688,53,8063368,0,0,506025,1000,494,506,7843536,3918299,3925237,0,7843536,506025,8
3,205,903,897,2328,2081,323,418,0,27,79,101,906082,0,0,6727794688,53,8063368,0,0,506025,1000,498,502,7843536,3925947,3917589,0,7843536,506025,3
3,205,915,911,2280,2088,335,418,0,30,25,115,906076,0,0,6727794688,53,8063368,0,0,506025,1000,485,515,7843536,3896283,3947253,0,7843536,506025,5
3,205,880,875,2256,2111,339,432,0,8,16,99,906045,0,0,6727794688,53,8063368,0,0,506025,1000,503,497,7843536,3932017,3911519,0,7843536,506025,2
3,205,906,902,2298,2110,323,420,0,14,27,101,906039,0,0,6727794688,53,8063368,0,0,506025,1000,494,506,7843536,3906815,3936721,0,7843536,506025,9
3,205,930,925,2381,2162,339,429,0,32,27,100,906119,0,0,6727794688,53,8063368,0,0,506025,1000,495,505,7843536,3917125,3926411,0,7843536,506025,6
3,205,928,923,2360,2095,330,415,0,23,16,109,906078,0,0,6727794688,53,8063368,0,0,506025,1000,488,512,7843536,3922484,3921052,0,7843536,506025,10
