numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
4,207,2461,3427,6761,6612,299,401,0,15,21,236,1079686,0,0,13642498048,509,85833776,0,0,5067210,1000,500,500,83267047,41635832,41631215,0,83267047,5067210,4
4,207,2443,2490,6701,6540,314,415,0,25,20,241,1079692,0,0,13642498048,509,85833776,0,0,5067210,1000,503,497,83267047,41743454,41523593,0,83267047,5067210,8
4,207,2562,3533,7131,6954,338,427,0,34,34,243,1079690,0,0,13642498048,509,85833776,0,0,5067210,1000,502,498,83267047,41725325,41541722,0,83267047,5067210,1
4,207,2533,3492,6989,6776,324,412,0,15,24,234,1079647,0,0,13642498048,509,85833776,0,0,5067210,1000,502,498,83267047,41701824,41565223,0,83267047,5067210,7
4,207,2468,3431,6811,6519,306,400,0,27,22,247,1079729,0,0,13642498048,509,85833776,0,0,5067210,1000,500,500,83267047,41616790,41650257,0,83267047,5067210,2
4,207,2457,3401,6750,6592,320,410,0,17,24,238,1079694,0,0,13642498048,509,85833776,0,0,5067210,1000,504,496,83267047,41755932,41511115,0,83267047,5067210,3
4,207,2457,3424,6725,6568,319,403,0,40,19,237,1079774,0,0,13642498048,509,85833776,0,0,5067210,1000,501,499,83267047,41703061,41563986,0,83267047,5067210,5
4,207,2506,3464,6971,6856,336,420,0,9,20,241,1079690,0,0,13642498048,509,85833776,0,0,5067210,1000,498,502,83267047,41700883,41566164,0,83267047,5067210,6
4,207,2454,3423,6699,6464,303,405,0,57,57,239,1079817,0,0,13642498048,509,85833776,0,0,5067210,1000,501,499,83267047,41656379,41610668,0,83267047,5067210,10
4,207,2502,2557,6798,6576,322,416,5,17,13,241,1079727,0,0,13642498048,509,85833776,0,0,5067210,1000,501,499,83267047,41548821,41718226,0,83267047,5067210,9
