numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
4,207,2279,2211,5776,5480,357,447,0,25,64,186,1973272,0,0,6814171136,509,85833776,0,0,2460307,600,293,307,66869584,33565811,33303773,0,66869584,2460307,3
4,207,2153,2084,5455,5253,320,425,0,41,22,186,1973272,0,0,6814171136,509,85833776,0,0,2460307,600,296,304,66869584,33560428,33309156,0,66869584,2460307,8
4,207,2237,2170,5615,5325,337,440,0,17,11,186,1973272,0,0,6814171136,509,85833776,0,0,2460307,600,305,295,66869584,33525942,33343642,0,66869584,2460307,2
4,207,2265,2195,5686,5320,323,431,0,27,69,186,1973272,0,0,6814171136,509,85833776,0,0,2460307,600,297,303,66869584,33508319,33361265,0,66869584,2460307,7
4,207,2243,2179,5692,5470,350,452,0,67,29,182,1973272,0,0,6814171136,509,85833776,0,0,2460307,600,296,304,66869584,33546775,33322809,0,66869584,2460307,5
4,207,2239,2152,5603,5301,344,430,0,182,26,182,1973272,0,0,6814171136,509,85833776,0,0,2460307,600,308,292,66869584,33648804,33220780,0,66869584,2460307,4
4,207,2182,2112,5582,5442,354,457,0,37,3,190,1973272,0,0,6814171136,509,85833776,0,0,2460307,600,307,293,66869584,33631215,33238369,0,66869584,2460307,6
4,207,2187,2124,5565,5230,320,431,0,6,8,184,1973272,0,0,6814171136,509,85833776,0,0,2460307,600,300,300,66869584,33435972,33433612,0,66869584,2460307,9
4,207,2312,2237,5988,5367,343,443,0,189,315,194,1973272,0,0,6814171136,509,85833776,0,0,2460307,600,300,300,66869584,33413065,33456519,0,66869584,2460307,10
4,207,2218,2141,5490,5330,337,436,0,13,18,183,1973272,0,0,6814171136,509,85833776,0,0,2460307,600,298,302,66869584,33500182,33369402,0,66869584,2460307,1
