numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
4,211,18593,24748,67268,66659,295,399,0,233,10,2067,1079866,0,0,15125708800,5055,864645258,0,0,50486551,1800,904,896,1003697658,501487225,502210433,0,1003697658,50486551,4
4,211,19144,25597,69191,68388,298,400,0,119,12,2002,1079905,0,0,15125708800,5055,873181839,0,0,50486551,1800,902,898,1003697658,501743041,501954617,0,1003697658,50486551,5
4,211,18542,18761,66602,66207,297,397,0,88,2,1928,1079823,0,0,15125708800,5055,854827048,0,0,50486551,1800,904,896,1003697658,501545969,502151689,0,1003697658,50486551,7
4,211,19003,25223,68494,68116,299,403,0,94,32,1978,1079907,0,0,15125708800,5055,854827048,0,0,50486551,1800,897,903,1003697658,501646113,502051545,0,1003697658,50486551,9
4,211,18848,19095,67693,67293,300,407,0,73,22,1999,1079780,0,0,15125708800,5055,854827048,0,0,50486551,1800,904,896,1003697658,501300288,502397370,0,1003697658,50486551,3
4,211,19051,19271,69026,68718,295,399,0,117,16,2054,1079905,0,0,15125708800,5055,854827048,0,0,50486551,1800,898,902,1003697658,501693577,502004081,0,1003697658,50486551,6
4,211,18773,18996,67599,67279,284,393,0,93,14,1983,1079907,0,0,15125708800,5055,854827048,0,0,50486551,1800,897,903,1003697658,501648360,502049298,0,1003697658,50486551,8
4,211,18931,19154,68458,67975,301,404,0,259,10,2077,1079991,0,0,15125708800,5055,854827048,0,0,50486551,1800,898,902,1003697658,501639400,502058258,0,1003697658,50486551,10
4,211,18651,24871,67122,66646,300,396,0,114,6,2020,1079737,0,0,15125708800,5055,864645258,0,0,50486551,1800,904,896,1003697658,501433633,502264025,0,1003697658,50486551,1
4,211,18848,24985,68182,67673,294,400,0,128,18,1965,1079733,0,0,15125708800,5055,864645258,0,0,50486551,1800,898,902,1003697658,501763866,501933792,0,1003697658,50486551,2
