numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
3,211,29321,29315,109217,108388,304,430,0,630,0,2269,910132,0,0,8388608000,5055,854827048,0,0,50486551,1800,902,898,1168382984,583955504,584427480,0,1168382984,50486551,3
3,211,29627,29622,110429,109561,295,424,0,677,0,2291,910046,0,0,8388608000,5055,854827048,0,0,50486551,1800,902,898,1168382984,584025119,584357865,0,1168382984,50486551,7
3,211,29752,29747,110993,109984,308,430,0,638,0,2241,909827,0,0,8388608000,5055,854827048,0,0,50486551,1800,900,900,1168382984,584074212,584308772,0,1168382984,50486551,4
3,211,29597,29592,110273,109356,301,421,0,640,0,2264,909915,0,0,8388608000,5055,854827048,0,0,50486551,1800,901,899,1168382984,584143858,584239126,0,1168382984,50486551,8
3,211,29811,29807,111385,110406,317,420,0,634,0,2259,909870,0,0,8388608000,5055,854827048,0,0,50486551,1800,900,900,1168382984,584139948,584243036,0,1168382984,50486551,6
3,211,29300,29295,108960,108092,293,417,0,653,0,2229,910044,0,0,8388608000,5055,854827048,0,0,50486551,1800,899,901,1168382984,584144604,584238380,0,1168382984,50486551,9
3,211,29312,29308,108504,107635,332,410,0,626,0,2280,909831,0,0,8388608000,5055,854827048,0,0,50486551,1800,902,898,1168382984,583981985,584400999,0,1168382984,50486551,10
3,211,29415,29410,109846,108821,302,418,0,783,0,2267,909698,0,0,8388608000,5055,854827048,0,0,50486551,1800,900,900,1168382984,584061745,584321239,0,1168382984,50486551,2
3,211,29325,29321,108648,107791,288,419,0,636,0,2324,909831,0,0,8388608000,5055,854827048,0,0,50486551,1800,902,898,1168382984,584015756,584367228,0,1168382984,50486551,5
3,211,29064,29060,108108,107204,308,421,0,684,0,2289,909874,0,0,8388608000,5055,854827048,0,0,50486551,1800,902,898,1168382984,584022463,584360521,0,1168382984,50486551,1
