numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
4,262,200484,202644,630050,613020,517,569,0,6186,2,21067,1175200,0,0,87660953600,50549,9155516459,0,0,504931085,12000,6156,5844,10981613965,5543460526,5438153439,0,10981613965,504931085,2
4,262,198261,257838,635512,613141,479,563,0,7300,30,20847,1175200,0,0,87660953600,50549,9172198197,0,0,504931085,12000,6152,5848,10981613965,5542317638,5439296327,0,10981613965,504931085,9
4,262,199772,259303,638191,616646,454,547,19,6681,59,21211,1175071,0,0,87660953600,50549,9172198197,0,0,504931085,12000,6148,5852,10981613965,5540477544,5441136421,0,10981613965,504931085,3
4,262,197609,256992,635324,612836,470,565,0,6258,19,21234,1175071,0,0,87660953600,50549,9172198197,0,0,504931085,12000,6148,5852,10981613965,5540906819,5440707146,0,10981613965,504931085,7
4,262,201890,204003,634892,612109,461,552,0,7043,44,20869,1175028,0,0,87660953600,50549,9155516459,0,0,504931085,12000,6160,5840,10981613965,5545184065,5436429900,0,10981613965,504931085,10
4,262,203617,205783,639113,615264,488,554,0,6980,34,21162,1175071,0,0,87660953600,50549,9155516459,0,0,504931085,12000,6168,5832,10981613965,5548075431,5433538534,0,10981613965,504931085,4
4,262,199568,258319,634438,613665,502,553,0,7015,29,20915,1175114,0,0,87660953600,50549,9172198197,0,0,504931085,12000,6152,5848,10981613965,5542325838,5439288127,0,10981613965,504931085,8
4,262,198948,201165,637416,615604,512,569,0,7560,43,21066,1175200,0,0,87660953600,50549,9155516459,0,0,504931085,12000,6144,5856,10981613965,5539316804,5442297161,0,10981613965,504931085,6
4,262,197996,200112,620135,610370,498,573,0,5933,103,20823,1175114,0,0,87660953600,50549,9155516459,0,0,504931085,12000,6160,5840,10981613965,5545269885,5436344080,0,10981613965,504931085,1
4,262,199163,201629,634574,612387,491,564,0,6874,29,20828,1175157,0,0,87660953600,50549,9155516459,0,0,504931085,12000,6152,5848,10981613965,5542535753,5439078212,0,10981613965,504931085,5
