numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
4,212,6106,7736,14269,14115,364,460,0,52,6,502,1079577,0,0,13889437696,1430,206440800,0,0,14265990,2400,1408,992,179780669,109754775,70025894,0,179780669,14265990,4
4,212,6452,8051,15274,15040,384,478,0,20,24,513,1079491,0,0,13889437696,1430,206440800,0,0,14265990,2400,1408,992,179780669,109754775,70025894,0,179780669,14265990,5
4,212,6440,7996,15239,14989,388,479,0,64,4,507,1079536,0,0,13889437696,1430,206440800,0,0,14265990,2400,1400,1000,179780669,108876976,70903693,0,179780669,14265990,8
4,212,6380,7955,15593,15300,424,486,0,51,35,525,1079535,0,0,13889437696,1430,206440800,0,0,14265990,2400,1404,996,179780669,109462329,70318340,0,179780669,14265990,2
4,212,6164,7716,14392,14203,366,457,0,53,23,493,1079620,0,0,13889437696,1430,206440800,0,0,14265990,2400,1408,992,179780669,109754775,70025894,0,179780669,14265990,6
4,212,6254,7813,14769,14516,370,461,0,42,27,509,1079578,0,0,13889437696,1430,206440800,0,0,14265990,2400,1404,996,179780669,109462329,70318340,0,179780669,14265990,10
4,212,6240,6712,14751,14546,378,467,0,52,43,512,1079620,0,0,13889437696,1430,206440800,0,0,14265990,2400,1408,992,179780669,109754775,70025894,0,179780669,14265990,3
4,212,6325,7038,14915,14714,415,469,0,33,12,534,1079578,0,0,13889437696,1430,206440800,0,0,14265990,2400,1404,996,179780669,109462329,70318340,0,179780669,14265990,9
4,212,7091,8798,17408,15992,408,502,0,65,301,516,1079577,0,0,13889437696,1430,206440800,0,0,14265990,2400,1408,992,179780669,109754775,70025894,0,179780669,14265990,1
4,212,6405,8217,14945,14540,405,456,0,35,60,529,1079534,0,0,13889437696,1430,206440800,0,0,14265990,2400,1408,992,179780669,109754775,70025894,0,179780669,14265990,7
