numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
4,212,106129,107867,274724,271542,579,587,0,2379,15,548,1174755,1955575623,26055540736,88866816000,1430,206440800,0,0,14265990,2400,1264,1136,179780669,97028314,82752355,0,179780669,14265990,2
4,212,105483,107065,274495,271578,542,577,0,2267,9,535,1174626,1910899229,25453789184,88933924864,1430,206440800,0,0,14265990,2400,1264,1136,179780669,97080524,82700145,0,179780669,14265990,3
4,212,105189,106799,272863,269844,587,553,0,2414,8,510,1174416,1986262320,26458193920,88799707136,1430,206440800,0,0,14265990,2400,1244,1156,179780669,95503237,84277432,0,179780669,14265990,8
4,212,104727,105212,271919,268608,537,553,0,2515,215,507,1174372,1898352182,25113788416,88732598272,1430,206440800,0,0,14265990,2400,1248,1152,179780669,95869744,83910925,0,179780669,14265990,5
4,212,104547,105051,273545,267923,502,533,0,2752,22,515,1174282,1892320907,25180897280,88833261568,1430,206440800,0,0,14265990,2400,1232,1168,179780669,97429433,82351236,0,179780669,14265990,10
4,212,107912,108697,284559,277913,635,595,0,4317,230,546,1175018,1939466400,25686441984,88699043840,1430,206440800,0,0,14265990,2400,1244,1156,179780669,95400354,84380315,0,179780669,14265990,1
4,212,106472,106948,278078,274644,552,573,0,2580,84,529,1174536,1885067226,24878907392,88766152704,1430,206440800,0,0,14265990,2400,1280,1120,179780669,98912500,80868169,0,179780669,14265990,4
4,212,101044,101562,269151,266234,566,562,0,2397,9,532,1174789,1929995572,25520898048,88699043840,1430,206440800,0,0,14265990,2400,1300,1100,179780669,99827154,79953515,0,179780669,14265990,6
4,212,105700,107329,272929,270125,638,625,0,2154,21,548,1174541,1913122200,25485115392,88967479296,1430,206440800,0,0,14265990,2400,1230,1170,179780669,97234622,82546047,0,179780669,14265990,7
4,212,104725,105431,273347,269258,555,542,0,2900,411,587,1174504,1934417270,25552224256,88699043840,1430,206440800,0,0,14265990,2400,1218,1182,179780669,95064290,84716379,0,179780669,14265990,9
