numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
3,212,9468,9463,22558,20431,449,492,0,149,5,701,893689,0,0,7157579776,1430,206440800,0,0,14265990,2400,1476,924,276896754,179642882,97253872,0,276896754,14265990,1
3,212,8675,8669,19546,19281,360,481,1,111,11,680,893689,0,0,7157579776,1430,206440800,0,0,14265990,2400,1476,924,276896754,179233605,97663149,0,276896754,14265990,4
3,212,8915,8911,19802,19324,362,476,0,137,0,754,893861,0,0,7157579776,1430,206440800,0,0,14265990,2400,1476,924,276896754,179415466,97481288,0,276896754,14265990,9
3,212,8227,8223,18622,18356,337,465,0,87,0,680,893732,0,0,7157579776,1430,206440800,0,0,14265990,2400,1476,924,276896754,178624716,98272038,0,276896754,14265990,3
3,212,8572,8567,19392,18631,358,474,0,292,249,673,893775,0,0,7157579776,1430,206440800,0,0,14265990,2400,1476,924,276896754,179445617,97451137,0,276896754,14265990,5
3,212,8386,8382,19084,18747,357,470,0,95,1,671,893820,0,0,7157579776,1430,206440800,0,0,14265990,2400,1468,932,276896754,178686357,98210397,0,276896754,14265990,7
3,212,8421,8417,19278,18843,368,472,0,102,2,746,893689,0,0,7157579776,1430,206440800,0,0,14265990,2400,1476,924,276896754,179167034,97729720,0,276896754,14265990,2
3,212,8450,8447,19122,18849,342,468,0,129,1,679,893818,0,0,7157579776,1430,206440800,0,0,14265990,2400,1476,924,276896754,179465845,97430909,0,276896754,14265990,6
3,212,8671,8666,19355,18955,341,469,0,99,2,687,893775,0,0,7157579776,1430,206440800,0,0,14265990,2400,1476,924,276896754,179495975,97400779,0,276896754,14265990,10
3,212,8233,8230,18348,18100,354,462,0,99,0,685,893775,0,0,7157579776,1430,206440800,0,0,14265990,2400,1476,924,276896754,179507385,97389369,0,276896754,14265990,8
