numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
4,205,2076,2007,6097,2106,1345,658,12,271,684,127,1000815,0,0,6723993600,52,2338768,0,0,241921,600,310,290,2480749,1221056,1259693,0,2480749,241921,4
4,205,1247,1192,3362,1588,720,562,0,0,353,94,1000600,0,0,6723993600,52,2338768,0,0,241921,600,318,282,2480749,1246613,1234136,0,2480749,241921,10
4,205,1512,1453,4391,1896,753,610,19,0,238,122,1000729,0,0,6723993600,52,2338768,0,0,241921,600,304,296,2480749,1250995,1229754,0,2480749,241921,6
4,205,6575,6376,24515,7689,5120,2460,19,81,743,299,1000858,0,0,6723993600,52,2338768,0,0,241921,600,313,287,2480749,1235269,1245480,0,2480749,241921,1
4,205,1214,1169,3382,1763,670,590,0,0,168,94,1000600,0,0,6723993600,52,2338768,0,0,241921,600,309,291,2480749,1272333,1208416,0,2480749,241921,7
4,205,2766,2662,8104,2822,1481,803,37,0,471,171,1000772,0,0,6723993600,52,2338768,0,0,241921,600,312,288,2480749,1242156,1238593,0,2480749,241921,2
4,205,1788,1696,5281,2011,903,630,0,399,989,119,1000686,0,0,6723993600,52,2338768,0,0,241921,600,303,297,2480749,1231689,1249060,0,2480749,241921,5
4,205,1812,1755,5238,2218,1141,684,1,68,351,139,1000729,0,0,6723993600,52,2338768,0,0,241921,600,317,283,2480749,1223045,1257704,0,2480749,241921,3
4,205,1216,1178,3415,1650,667,554,1,24,265,110,1000686,0,0,6723993600,52,2338768,0,0,241921,600,319,281,2480749,1233925,1246824,0,2480749,241921,8
4,205,1230,1190,3382,1693,718,583,18,24,213,108,1000858,0,0,6723993600,52,2338768,0,0,241921,600,308,292,2480749,1231614,1249135,0,2480749,241921,9
