numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
3,205,1903,1892,6484,2899,730,568,5,383,439,130,906172,0,0,6727794688,52,2338768,0,0,506025,1000,522,478,5786914,2813250,2973664,0,5786914,506025,3
3,205,1283,1276,4280,2584,556,543,0,90,228,148,906129,0,0,6727794688,52,2338768,0,0,506025,1000,496,504,5786914,2877996,2908918,0,5786914,506025,9
3,205,1258,1247,4082,2509,577,523,0,53,235,142,906129,0,0,6727794688,52,2338768,0,0,506025,1000,520,480,5786914,2856832,2930082,0,5786914,506025,6
3,205,2056,2047,7384,3090,656,582,9,26,639,157,906129,0,0,6727794688,52,2338768,0,0,506025,1000,503,497,5786914,2905480,2881434,0,5786914,506025,2
3,205,4870,4860,16992,5758,1534,748,7,142,647,186,906258,0,0,6727794688,52,2338768,0,0,506025,1000,517,483,5786914,2853926,2932988,0,5786914,506025,1
3,205,1123,1117,3617,2425,513,524,0,19,239,115,906043,0,0,6727794688,52,2338768,0,0,506025,1000,503,497,5786914,2903005,2883909,0,5786914,506025,10
3,205,1489,1482,4941,2672,641,545,6,33,332,134,906301,0,0,6727794688,52,2338768,0,0,506025,1000,511,489,5786914,2857621,2929293,0,5786914,506025,5
3,205,1178,1170,3838,2459,547,509,4,59,217,170,906129,0,0,6727794688,52,2338768,0,0,506025,1000,516,484,5786914,2887878,2899036,0,5786914,506025,8
3,205,1693,1685,5582,2808,650,556,1,70,283,155,906129,0,0,6727794688,52,2338768,0,0,506025,1000,507,493,5786914,2937138,2849776,0,5786914,506025,4
3,205,1394,1386,4500,2604,581,546,8,69,333,131,906215,0,0,6727794688,52,2338768,0,0,506025,1000,511,489,5786914,2923568,2863346,0,5786914,506025,7
