numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
4,209,2315,2988,4901,4176,430,506,0,29,55,171,1079843,0,0,13642498048,509,23616688,0,0,5067210,1000,800,200,40128741,21236939,18891802,0,40128741,5067210,10
4,209,2272,2349,4747,4284,450,507,0,26,30,175,1079843,0,0,13642498048,509,23616688,0,0,5067210,1000,800,200,40128741,21236939,18891802,0,40128741,5067210,3
4,209,2936,2988,6303,4363,486,532,0,789,103,184,1079886,0,0,13642498048,509,23616688,0,0,5067210,1000,800,200,40128741,21236939,18891802,0,40128741,5067210,5
4,209,2290,2985,4846,4323,453,530,0,11,35,170,1079843,0,0,13642498048,509,23616688,0,0,5067210,1000,800,200,40128741,21236939,18891802,0,40128741,5067210,2
4,209,2037,2086,4283,4010,419,496,0,8,33,177,1079800,0,0,13642498048,509,23616688,0,0,5067210,1000,800,200,40128741,21236939,18891802,0,40128741,5067210,8
4,209,2198,2824,4651,4222,459,513,0,8,61,179,1079800,0,0,13642498048,509,23616688,0,0,5067210,1000,800,200,40128741,21236939,18891802,0,40128741,5067210,4
4,209,3016,3200,6757,4972,599,600,0,35,149,185,1079843,0,0,13642498048,509,23616688,0,0,5067210,1000,800,200,40128741,21236939,18891802,0,40128741,5067210,1
4,209,2090,2139,4345,4081,404,499,0,30,10,171,1079843,0,0,13642498048,509,23616688,0,0,5067210,1000,800,200,40128741,21236939,18891802,0,40128741,5067210,6
4,209,2028,2081,4212,4050,400,497,0,0,11,164,1079800,0,0,13642498048,509,23616688,0,0,5067210,1000,800,200,40128741,21236939,18891802,0,40128741,5067210,7
4,209,2108,2154,4398,4115,407,504,0,0,16,167,1079800,0,0,13642498048,509,23616688,0,0,5067210,1000,800,200,40128741,21236939,18891802,0,40128741,5067210,9
