numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
4,209,2147,2074,7654,4575,885,685,1,100,479,141,1481369,0,0,6814171136,509,23616688,0,0,2460307,600,337,263,24781730,12398350,12383380,0,24781730,2460307,3
4,209,2168,2013,8151,4219,660,616,0,47,142,129,1481369,0,0,6814171136,509,23616688,0,0,2460307,600,311,289,24781730,12408623,12373107,0,24781730,2460307,9
4,209,1998,1934,6879,4457,847,643,1,97,521,127,1481369,0,0,6814171136,509,23616688,0,0,2460307,600,325,275,24781730,12257049,12524681,0,24781730,2460307,5
4,209,1922,1854,6501,4186,604,603,1,0,109,129,1481369,0,0,6814171136,509,23616688,0,0,2460307,600,200,400,24781730,12425867,12355863,0,24781730,2460307,8
4,209,3200,3117,11341,5711,1020,686,19,52,741,219,1481412,0,0,6814171136,509,23616688,0,0,2460307,600,365,235,24781730,12342479,12439251,0,24781730,2460307,1
4,209,1924,1858,6933,4268,819,630,0,14,497,139,1481369,0,0,6814171136,509,23616688,0,0,2460307,600,349,251,24781730,12349434,12432296,0,24781730,2460307,4
4,209,1769,1688,6474,4120,623,608,0,39,272,129,1481369,0,0,6814171136,509,23616688,0,0,2460307,600,291,309,24781730,12410567,12371163,0,24781730,2460307,10
4,209,1894,1831,6615,4369,651,633,0,51,350,150,1481369,0,0,6814171136,509,23616688,0,0,2460307,600,300,300,24781730,12371535,12410195,0,24781730,2460307,7
4,209,1929,1865,7134,4350,726,630,0,33,233,168,1481369,0,0,6814171136,509,23616688,0,0,2460307,600,324,276,24781730,12236239,12545491,0,24781730,2460307,6
4,209,2252,2179,8085,4861,995,664,0,71,673,193,1481369,0,0,6814171136,509,23616688,0,0,2460307,600,357,243,24781730,12289212,12492518,0,24781730,2460307,2
