numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
3,209,2870,2864,12203,9695,538,570,0,119,138,255,906415,0,0,6920601600,509,23616688,0,0,5067210,1000,500,500,57750614,28808731,28941883,0,57750614,5067210,4
3,209,3339,3333,12843,9824,532,571,0,179,333,559,906501,0,0,6920601600,509,23616688,0,0,5067210,1000,464,536,57750614,28753414,28997200,0,57750614,5067210,3
3,209,4008,4002,17609,10852,704,584,4,179,736,267,906544,0,0,6920601600,509,23616688,0,0,5067210,1000,480,520,57750614,28534285,29216329,0,57750614,5067210,1
3,209,2426,2420,10099,9213,463,548,0,83,129,207,906458,0,0,6920601600,509,23616688,0,0,5067210,1000,496,504,57750614,28802659,28947955,0,57750614,5067210,10
3,209,3034,3029,12763,9731,586,578,0,148,187,291,906501,0,0,6920601600,509,23616688,0,0,5067210,1000,494,506,57750614,28902215,28848399,0,57750614,5067210,5
3,209,2725,2719,11581,9592,594,577,2,124,231,354,906501,0,0,6920601600,509,23616688,0,0,5067210,1000,482,518,57750614,28869253,28881361,0,57750614,5067210,6
3,209,2829,2823,12100,9624,529,570,0,180,511,228,906458,0,0,6920601600,509,23616688,0,0,5067210,1000,481,519,57750614,28683633,29066981,0,57750614,5067210,2
3,209,2739,2734,11794,9623,488,569,0,159,360,229,906415,0,0,6920601600,509,23616688,0,0,5067210,1000,494,506,57750614,28787888,28962726,0,57750614,5067210,8
3,209,2496,2490,10382,9345,493,558,0,78,63,207,906415,0,0,6920601600,509,23616688,0,0,5067210,1000,504,496,57750614,28817047,28933567,0,57750614,5067210,9
3,209,2736,2730,11767,9614,522,560,1,107,309,232,906458,0,0,6920601600,509,23616688,0,0,5067210,1000,500,500,57750614,28870236,28880378,0,57750614,5067210,7
