numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
4,213,13084,13327,44828,43973,580,563,0,251,78,829,1167417,0,0,22701670400,5051,230685536,0,0,50486551,1000,397,603,399447886,115035108,284412778,0,399447886,50486551,6
4,213,13363,13752,46801,44514,604,581,0,440,166,1062,1167546,0,0,22701670400,5051,230685536,0,0,50486551,1000,397,603,399447886,115140812,284307074,0,399447886,50486551,2
4,213,13988,14207,45029,43387,525,555,0,274,42,1881,1167331,0,0,22701670400,5051,230685536,0,0,50486551,1000,397,603,399447886,115050570,284397316,0,399447886,50486551,10
4,213,14028,14310,49108,47130,736,585,0,392,153,833,1167546,0,0,22701670400,5051,230685536,0,0,50486551,1000,397,603,399447886,123743109,275704777,0,399447886,50486551,3
4,213,12995,16514,44380,43418,591,564,0,219,40,828,1167374,0,0,22701670400,5051,230686984,0,0,50486551,1000,397,603,399447886,114053911,285393975,0,399447886,50486551,5
4,213,12935,13197,43669,43127,705,552,0,194,61,821,1167331,0,0,22701670400,5051,230685536,0,0,50486551,1000,397,603,399447886,113988641,285459245,0,399447886,50486551,9
4,213,14886,15468,57114,49311,660,634,0,990,1103,885,1167460,0,0,22701670400,5051,230685536,0,0,50486551,1000,414,586,399447886,116796377,282651509,0,399447886,50486551,1
4,213,13172,13391,44469,43786,562,562,0,233,50,826,1167417,0,0,22701670400,5051,230685536,0,0,50486551,1000,397,603,399447886,115305170,284142716,0,399447886,50486551,7
4,213,12827,13055,43664,43204,539,554,0,196,23,815,1167331,0,0,22701670400,5051,230685536,0,0,50486551,1000,397,603,399447886,114754156,284693730,0,399447886,50486551,8
4,213,13958,14167,46571,44318,555,569,0,509,61,1496,1167417,0,0,22701670400,5051,230685536,0,0,50486551,1000,397,603,399447886,115122231,284325655,0,399447886,50486551,4
