numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
4,227,53954,75038,331066,328592,429,501,0,1005,50,9044,1081090,0,0,47395635200,50511,2342370776,0,0,504931085,4200,1465,2735,3995629959,1339171099,2656458860,0,3995629959,504931085,4
4,227,53393,56548,328505,326430,415,497,0,1067,27,8953,1081305,0,0,47395635200,50511,2342370776,0,0,504931085,4200,1465,2735,3995629959,1338514074,2657115885,0,3995629959,504931085,5
4,227,53597,55575,330629,328232,422,500,0,866,11,8702,1080746,0,0,47395635200,50511,2342370776,0,0,504931085,4200,1465,2735,3995629959,1339150766,2656479193,0,3995629959,504931085,3
4,227,54401,57526,324701,322355,682,500,0,1330,12,8628,1081434,0,0,47395635200,50511,2342370776,0,0,504931085,4200,1465,2735,3995629959,1339921213,2655708746,0,3995629959,504931085,10
4,227,53551,55748,331434,328365,437,506,0,1454,16,8890,1081434,0,0,47395635200,50511,2342370776,0,0,504931085,4200,1465,2735,3995629959,1338959940,2656670019,0,3995629959,504931085,7
4,227,54480,56797,327815,325037,430,507,0,1170,44,9066,1081649,0,0,47395635200,50511,2342370776,0,0,504931085,4200,1465,2735,3995629959,1338941916,2656688043,0,3995629959,504931085,9
4,227,54281,76011,329564,327313,445,524,0,754,33,8852,1080617,0,0,47395635200,50511,2342920035,0,0,504931085,4200,1465,2735,3995629959,1338254220,2657375739,0,3995629959,504931085,1
4,227,52896,74432,328823,326337,407,491,0,1071,278,8951,1081348,0,0,47395635200,50511,2342370776,0,0,504931085,4200,1465,2735,3995629959,1338308476,2657321483,0,3995629959,504931085,8
4,227,52664,73849,331154,328900,406,502,0,1219,65,8801,1081391,0,0,47395635200,50511,2342370776,0,0,504931085,4200,1465,2735,3995629959,1339313711,2656316248,0,3995629959,504931085,6
4,227,53329,74592,327678,325539,410,500,0,1042,15,8463,1080703,0,0,47395635200,50511,2342920035,0,0,504931085,4200,1465,2735,3995629959,1339308844,2656321115,0,3995629959,504931085,2
