numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
3,227,93279,93275,712992,703006,426,526,0,8065,0,12559,914800,0,0,53687091200,50511,2342370776,0,0,504931085,4200,1398,2802,5732081628,1910687976,3821393652,0,5732081628,504931085,3
3,227,93065,93060,715067,704657,412,519,0,7994,0,12444,914800,0,0,53687091200,50511,2342370776,0,0,504931085,4200,1400,2800,5732081628,1912015218,3820066410,0,5732081628,504931085,5
3,227,93329,93325,714328,704979,419,525,0,7405,0,12417,914800,0,0,53687091200,50511,2342370776,0,0,504931085,4200,1399,2801,5732081628,1912850183,3819231445,0,5732081628,504931085,10
3,227,92780,92776,713451,703744,437,524,0,7431,0,12652,914800,0,0,53687091200,50511,2342370776,0,0,504931085,4200,1400,2800,5732081628,1911984853,3820096775,0,5732081628,504931085,2
3,227,95193,95188,712282,702707,420,526,0,7100,0,12419,914800,0,0,53687091200,50511,2342370776,0,0,504931085,4200,1400,2800,5732081628,1910549437,3821532191,0,5732081628,504931085,7
3,227,95545,95539,712205,702450,403,515,0,7315,0,12481,914800,0,0,53687091200,50511,2342370776,0,0,504931085,4200,1400,2800,5732081628,1911762574,3820319054,0,5732081628,504931085,6
3,227,93050,93046,711082,701334,415,521,0,7347,0,12414,914800,0,0,53687091200,50511,2342370776,0,0,504931085,4200,1398,2802,5732081628,1911952361,3820129267,0,5732081628,504931085,8
3,227,91990,91987,715890,706192,447,514,0,7370,0,12429,914800,0,0,53687091200,50511,2342370776,0,0,504931085,4200,1395,2805,5732081628,1910771773,3821309855,0,5732081628,504931085,9
3,227,92268,92264,716091,705805,410,526,0,8136,0,12821,914800,0,0,53687091200,50511,2342370776,0,0,504931085,4200,1398,2802,5732081628,1910317052,3821764576,0,5732081628,504931085,4
3,227,92586,92582,715378,703630,402,520,0,8831,0,12575,914800,0,0,53687091200,50511,2342370776,0,0,504931085,4200,1394,2806,5732081628,1911690561,3820391067,0,5732081628,504931085,1
