numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
2,161,537,537,1098,656,271,322,0,20,0,30,574486,0,0,10766909440,320,2466739,0,0,160,160,135,25,6720,5670,1050,0,6720,160,5
2,161,503,503,1075,649,261,313,0,17,0,29,574486,0,0,10766909440,320,2466739,0,0,160,160,135,25,6720,5670,1050,0,6720,160,10
2,161,515,514,1025,649,272,323,0,0,0,29,574400,0,0,10766909440,320,2466739,0,0,160,160,135,25,6720,5670,1050,0,6720,160,1
2,161,498,498,1030,656,264,320,0,10,0,32,574443,0,0,10766909440,320,2466739,0,0,160,160,135,25,6720,5670,1050,0,6720,160,8
2,161,468,468,959,633,261,312,0,0,0,29,574400,0,0,10766909440,320,2466739,0,0,160,160,135,25,6720,5670,1050,0,6720,160,9
2,161,494,494,1061,636,253,313,0,10,0,29,574443,0,0,10766909440,320,2466739,0,0,160,160,135,25,6720,5670,1050,0,6720,160,7
2,161,455,454,964,648,250,314,0,0,0,28,574400,0,0,10766909440,320,2466739,0,0,160,160,135,25,6720,5670,1050,0,6720,160,4
2,161,553,552,1111,656,270,322,0,19,0,29,574486,0,0,10766909440,320,2466739,0,0,160,160,135,25,6720,5670,1050,0,6720,160,3
2,161,497,497,1138,637,264,311,0,24,0,28,574486,0,0,10766909440,320,2466739,0,0,160,160,135,25,6720,5670,1050,0,6720,160,2
2,161,506,506,1041,653,279,328,0,0,0,29,574400,0,0,10766909440,320,2466739,0,0,160,160,135,25,6720,5670,1050,0,6720,160,6
