numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
3,321,572,536,964,814,432,544,0,0,0,29,630240,0,0,5468794880,320,2504208,0,0,160,160,9,151,6720,378,6342,0,6720,160,8
3,321,587,548,986,812,422,544,0,23,0,29,630283,0,0,5468794880,320,2504208,0,0,160,160,90,70,6720,3780,2940,0,6720,160,7
3,321,539,503,951,800,413,532,0,35,0,29,630326,0,0,5468794880,320,2504208,0,0,160,160,61,99,6720,2562,4158,0,6720,160,9
3,321,554,519,975,812,399,535,0,0,0,34,630240,0,0,5468794880,320,2504208,0,0,160,160,90,70,6720,3780,2940,0,6720,160,5
3,321,793,724,1439,970,552,658,4,17,0,30,630283,0,0,5468794880,320,2504208,0,0,160,160,9,151,6720,378,6342,0,6720,160,1
3,321,551,517,1010,809,437,539,0,17,0,29,630283,0,0,5468794880,320,2504208,0,0,160,160,9,151,6720,378,6342,0,6720,160,2
3,321,571,512,948,797,420,523,0,12,0,28,630283,0,0,5468794880,320,2504208,0,0,160,160,90,70,6720,3780,2940,0,6720,160,3
3,321,596,558,998,815,408,538,0,14,0,29,630283,0,0,5468794880,320,2504208,0,0,160,160,61,99,6720,2562,4158,0,6720,160,6
3,321,576,543,918,811,429,538,0,0,0,28,630240,0,0,5468794880,320,2504208,0,0,160,160,90,70,6720,3780,2940,0,6720,160,4
3,321,604,566,895,803,411,530,0,0,0,29,630240,0,0,5468794880,320,2504208,0,0,160,160,90,70,6720,3780,2940,0,6720,160,10
