numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
3,521,1309,1304,4084,3813,717,933,15,38,87,1547,919360,0,0,6727794688,320,2504208,0,0,506025,1800,883,917,5835278,3234974,2600304,0,5835278,506025,4
3,521,1385,1380,4295,3838,791,953,0,79,158,1566,919360,0,0,6727794688,320,2504208,0,0,506025,1800,859,941,5835278,3120733,2714545,0,5835278,506025,9
3,521,1301,1295,4094,3837,773,925,0,36,58,1540,919145,0,0,6727794688,320,2504208,0,0,506025,1800,820,980,5835278,3007709,2827569,0,5835278,506025,3
3,521,1358,1353,4272,3883,752,958,0,0,46,1578,919360,0,0,6727794688,320,2504208,0,0,506025,1800,823,977,5835278,3125129,2710149,0,5835278,506025,7
3,521,1360,1354,4117,3779,751,920,0,37,85,1519,919145,0,0,6727794688,320,2504208,0,0,506025,1800,893,907,5835278,3140720,2694558,0,5835278,506025,2
3,521,1371,1366,4104,3809,792,944,0,17,113,1552,919360,0,0,6727794688,320,2504208,0,0,506025,1800,890,910,5835278,3145977,2689301,0,5835278,506025,5
3,521,1336,1330,4190,3750,757,930,0,67,178,1487,919274,0,0,6727794688,320,2504208,0,0,506025,1800,897,903,5835278,3099173,2736105,0,5835278,506025,6
3,521,1335,1329,4173,3807,761,915,0,84,109,1561,918801,0,0,6727794688,320,2504208,0,0,506025,1800,862,938,5835278,3026774,2808504,0,5835278,506025,1
3,521,1369,1364,4137,3875,769,958,0,27,82,1546,919360,0,0,6727794688,320,2504208,0,0,506025,1800,859,941,5835278,3033258,2802020,0,5835278,506025,10
3,521,1344,1338,4093,3872,739,954,0,0,23,1579,919188,0,0,6727794688,320,2504208,0,0,506025,1800,900,900,5835278,3122782,2712496,0,5835278,506025,8
