numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
3,321,1175,1099,2721,2546,442,568,0,85,0,31,2065152,0,0,6348595200,762,23940056,0,0,160,160,135,25,6720,5670,1050,0,6720,160,5
3,321,1179,1060,2689,2572,424,555,0,54,0,33,2063862,0,0,6348595200,762,23940056,0,0,160,160,135,25,6720,5670,1050,0,6720,160,10
3,321,1137,1062,2694,2600,395,558,0,30,0,31,2062443,0,0,6348595200,762,23940056,0,0,160,160,135,25,6720,5670,1050,0,6720,160,6
3,321,1139,1048,2690,2581,410,552,0,19,0,30,2063518,0,0,6348595200,762,23940056,0,0,160,160,135,25,6720,5670,1050,0,6720,160,1
3,321,1157,1082,2773,2564,417,556,0,31,0,34,2064378,0,0,6348595200,762,23940056,0,0,160,160,135,25,6720,5670,1050,0,6720,160,4
3,321,1166,1086,2665,2571,414,561,0,22,0,53,2064249,0,0,6348595200,762,23940056,0,0,160,160,135,25,6720,5670,1050,0,6720,160,9
3,321,1205,1130,2831,2607,415,571,0,0,0,31,2064851,0,0,6348595200,762,23940056,0,0,160,160,135,25,6720,5670,1050,0,6720,160,8
3,321,1149,1074,2716,2559,429,557,0,19,0,31,2063647,0,0,6348595200,762,23940056,0,0,160,160,135,25,6720,5670,1050,0,6720,160,3
3,321,1198,1120,2772,2591,463,562,0,33,0,33,2063690,0,0,6348595200,762,23940056,0,0,160,160,135,25,6720,5670,1050,0,6720,160,7
3,321,1196,1120,2670,2567,442,561,0,21,0,30,2063690,0,0,6348595200,762,23940056,0,0,160,160,135,25,6720,5670,1050,0,6720,160,2
