numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
2,161,9022,9022,31517,30057,322,402,0,434,0,34,644915,0,0,19503513600,5193,376623465,0,0,160,160,130,30,6720,5460,1260,0,6720,160,3
2,161,9084,9084,31415,30040,309,396,0,411,0,35,644829,0,0,19503513600,5193,376623504,0,0,160,160,130,30,6720,5460,1260,0,6720,160,9
2,161,9073,9073,31702,30178,318,395,0,492,0,34,645044,0,0,19503513600,5193,376623735,0,0,160,160,130,30,6720,5460,1260,0,6720,160,5
2,161,9015,9015,31809,30192,323,397,0,548,0,34,645130,0,0,19503513600,5193,376630795,0,0,160,160,130,30,6720,5460,1260,0,6720,160,2
2,161,9088,9088,31483,30089,310,400,0,351,0,34,644786,0,0,19503513600,5193,376623724,0,0,160,160,130,30,6720,5460,1260,0,6720,160,6
2,161,9005,9004,31778,30335,323,394,0,381,0,34,644915,0,0,19503513600,5193,376623784,0,0,160,160,130,30,6720,5460,1260,0,6720,160,8
2,161,9372,9372,32829,30458,325,416,0,1076,0,35,645302,0,0,19503513600,5193,376623703,0,0,160,160,130,30,6720,5460,1260,0,6720,160,1
2,161,8988,8988,31568,30106,313,405,0,340,0,34,644829,0,0,19503513600,5193,376623455,0,0,160,160,130,30,6720,5460,1260,0,6720,160,7
2,161,9083,9083,31654,30117,311,405,0,437,0,34,644872,0,0,19503513600,5193,376608606,0,0,160,160,130,30,6720,5460,1260,0,6720,160,4
2,161,8916,8915,31491,30078,297,391,0,391,0,34,644872,0,0,19503513600,5193,376608665,0,0,160,160,130,30,6720,5460,1260,0,6720,160,10
