numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
2,161,38943,38943,233294,225397,271,339,0,909,0,35,576378,0,0,54022635520,50693,4044901852,0,0,160,160,15,145,6720,630,6090,0,6720,160,6
2,161,38950,38949,234262,226433,312,349,0,965,0,35,576335,0,0,54022635520,50693,4045260742,0,0,160,160,14,146,6720,588,6132,0,6720,160,2
2,161,39370,39370,233880,225996,298,342,0,924,0,34,576249,0,0,54022635520,50693,4044974178,0,0,160,160,77,83,6720,3234,3486,0,6720,160,9
2,161,39751,39750,234045,226212,289,343,0,894,0,35,576335,0,0,54022635520,50693,4045118531,0,0,160,160,78,82,6720,3276,3444,0,6720,160,8
2,161,37941,37941,232682,224652,273,338,0,946,0,34,576249,0,0,54022635520,50693,4044969785,0,0,160,160,16,144,6720,672,6048,0,6720,160,4
2,161,39914,39914,238230,227764,302,369,0,3285,0,35,576421,0,0,54022635520,50693,4045116009,0,0,160,160,68,92,6720,2856,3864,0,6720,160,1
2,161,39862,39862,235187,227217,300,344,0,902,0,34,576292,0,0,54022635520,50693,4045261247,0,0,160,160,68,92,6720,2856,3864,0,6720,160,5
2,161,39530,39530,233863,226094,285,349,0,829,0,35,576292,0,0,54022635520,50693,4044975191,0,0,160,160,78,82,6720,3276,3444,0,6720,160,7
2,161,39106,39106,233888,225882,313,346,0,1049,0,35,576464,0,0,54022635520,50693,4045187398,0,0,160,160,76,84,6720,3192,3528,0,6720,160,3
2,161,38915,38915,233914,225987,281,339,0,954,0,35,576335,0,0,54022635520,50693,4045114629,0,0,160,160,15,145,6720,630,6090,0,6720,160,10
