numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
2,161,52885,52885,332093,312778,307,399,0,10149,0,35,664480,465519113,43121639424,86234890240,50693,4044747941,0,0,160,160,69,91,6720,2898,3822,0,6720,160,3
2,161,53583,53583,333557,313973,327,410,0,10916,0,35,664480,498944651,43161485312,86234890240,50693,4044893568,0,0,160,160,18,142,6720,756,5964,0,6720,160,2
2,161,53145,53145,326349,312510,323,400,0,6081,0,35,664480,442390864,43088084992,86234890240,50693,4044967812,0,0,160,160,74,86,6720,3108,3612,0,6720,160,9
2,161,52966,52966,331978,313936,308,397,0,9422,0,34,664480,457433440,43111153664,86234890240,50693,4044963690,0,0,160,160,73,87,6720,3066,3654,0,6720,160,4
2,161,52888,52887,327660,311948,319,413,0,7612,0,35,664480,457510633,43111153664,86234890240,50693,4045036286,0,0,160,160,73,87,6720,3066,3654,0,6720,160,5
2,161,53297,53296,336103,313808,330,403,0,13695,0,34,664480,440360171,43092279296,86234890240,50693,4044891855,0,0,160,160,73,87,6720,3066,3654,0,6720,160,8
2,161,51953,51952,323894,310825,325,407,0,5160,0,34,664480,454989022,43109056512,86234890240,50693,4044892895,0,0,160,160,73,87,6720,3066,3654,0,6720,160,6
2,161,55594,55594,349339,322636,395,468,0,16665,0,35,664480,591208708,43285217280,86234890240,50693,4044891265,0,0,160,160,69,91,6720,2898,3822,0,6720,160,1
2,161,52042,52042,326668,311867,323,416,0,6610,0,35,664480,457627246,43111153664,86234890240,50693,4044891140,0,0,160,160,18,142,6720,756,5964,0,6720,160,7
2,161,51991,51991,332202,313040,302,399,0,10470,0,35,664480,438888211,43088084992,86234890240,50693,4044965528,0,0,160,160,69,91,6720,2898,3822,0,6720,160,10
