numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
3,521,98024,98019,749413,739477,725,1000,0,7835,0,13371,920478,0,0,53687091200,50693,4054728896,0,0,504931085,1800,1037,763,5768835168,4580416534,1188418634,0,5768835168,504931085,4
3,521,100375,100370,751205,740959,698,982,0,8091,0,13395,920521,0,0,53687091200,50693,4054871482,0,0,504931085,1800,1076,724,5768835168,4821276651,947558517,0,5768835168,504931085,5
3,521,98344,98338,748464,738292,698,985,0,8218,0,13533,920521,0,0,53687091200,50693,4054943476,0,0,504931085,1800,1079,721,5768835168,4770423885,998411283,0,5768835168,504931085,8
3,521,98053,98048,750902,740992,703,987,0,7700,0,13519,920435,0,0,53687091200,50693,4054799647,0,0,504931085,1800,1055,745,5768835168,4682380960,1086454208,0,5768835168,504931085,7
3,521,99677,99671,748212,737980,748,999,0,8104,0,13588,920521,0,0,53687091200,50693,4054871028,0,0,504931085,1800,1092,708,5768835168,4878581768,890253400,0,5768835168,504931085,6
3,521,98577,98571,748089,738579,723,1000,0,7943,0,13518,920478,0,0,53687091200,50693,4054871880,0,0,504931085,1800,1063,737,5768835168,4711741431,1057093737,0,5768835168,504931085,2
3,521,100943,100937,764678,737917,813,1076,0,11740,0,13345,921166,0,0,53687091200,50693,4054943074,0,0,504931085,1800,1082,718,5768835168,4796712711,972122457,0,5768835168,504931085,1
3,521,97646,97641,746260,736593,681,972,0,8106,0,13257,920478,0,0,53687091200,50693,4054872175,0,0,504931085,1800,1071,729,5768835168,4748138987,1020696181,0,5768835168,504931085,10
3,521,98590,98584,748561,738754,700,994,0,7916,0,13512,920392,0,0,53687091200,50693,4054943079,0,0,504931085,1800,1080,720,5768835168,4783163254,985671914,0,5768835168,504931085,9
3,521,98060,98054,747482,737538,706,991,0,7940,2,13497,920435,0,0,53687091200,50693,4054943074,0,0,504931085,1800,1063,737,5768835168,4740230146,1028605022,0,5768835168,504931085,3
