numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
2,21,114,113,292,206,51,49,0,0,0,3,71800,0,0,1364459520,80,2341941,0,0,20,20,11,9,840,462,378,0,840,20,4
2,21,235,234,765,400,96,74,0,0,0,4,71800,0,0,1364459520,80,2341941,0,0,20,20,11,9,840,462,378,0,840,20,1
2,21,117,116,274,193,58,47,0,25,0,3,71843,0,0,1364459520,80,2341941,0,0,20,20,11,9,840,462,378,0,840,20,6
2,21,121,121,307,214,51,47,0,0,0,4,71800,0,0,1364459520,80,2341941,0,0,20,20,11,9,840,462,378,0,840,20,5
2,21,120,120,304,216,53,49,6,0,0,4,71843,0,0,1364459520,80,2341941,0,0,20,20,11,9,840,462,378,0,840,20,3
2,21,122,122,335,215,57,47,0,12,0,4,71843,0,0,1364459520,80,2341941,0,0,20,20,11,9,840,462,378,0,840,20,7
2,21,121,121,233,195,46,47,0,0,0,3,71800,0,0,1364459520,80,2341941,0,0,20,20,11,9,840,462,378,0,840,20,8
2,21,120,119,276,211,57,48,0,0,0,3,71800,0,0,1364459520,80,2341941,0,0,20,20,11,9,840,462,378,0,840,20,10
2,21,96,96,249,196,59,47,0,0,0,8,71800,0,0,1364459520,80,2341941,0,0,20,20,11,9,840,462,378,0,840,20,9
2,21,150,150,452,236,58,52,0,0,0,4,71800,0,0,1364459520,80,2341941,0,0,20,20,11,9,840,462,378,0,840,20,2
