numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
3,41,166,134,289,258,91,82,0,0,0,3,197187,0,0,692250112,80,2354888,0,0,20,20,10,10,840,420,420,0,840,20,8
3,41,155,129,292,257,90,82,0,0,0,3,197187,0,0,692250112,80,2354888,0,0,20,20,10,10,840,420,420,0,840,20,7
3,41,225,177,332,286,143,86,0,0,0,4,197531,0,0,692250112,80,2354888,0,0,20,20,10,10,840,420,420,0,840,20,10
3,41,260,220,612,399,127,93,0,37,0,4,197316,0,0,692250112,80,2354888,0,0,20,20,10,10,840,420,420,0,840,20,2
3,41,222,192,355,272,98,85,0,16,0,5,197273,0,0,692250112,80,2354888,0,0,20,20,10,10,840,420,420,0,840,20,4
3,41,386,318,921,755,243,206,0,22,2,4,197316,0,0,692250112,80,2354888,0,0,20,20,10,10,840,420,420,0,840,20,1
3,41,215,187,416,322,97,89,0,0,0,4,197402,0,0,692250112,80,2354888,0,0,20,20,10,10,840,420,420,0,840,20,3
3,41,171,145,305,247,73,80,0,20,0,3,197058,0,0,692250112,80,2354888,0,0,20,20,10,10,840,420,420,0,840,20,6
3,41,217,169,370,263,87,82,0,17,0,3,197230,0,0,692250112,80,2354888,0,0,20,20,10,10,840,420,420,0,840,20,5
3,41,168,142,289,240,80,82,0,24,0,3,197144,0,0,692250112,80,2354888,0,0,20,20,10,10,840,420,420,0,840,20,9
