numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
2,21,489,489,1862,1601,47,49,0,0,0,4,71800,0,0,1512570880,528,23519770,0,0,20,20,8,12,840,336,504,0,840,20,1
2,21,467,466,1839,1619,55,49,0,0,0,4,71800,0,0,1512570880,528,23519770,0,0,20,20,8,12,840,336,504,0,840,20,6
2,21,555,555,1960,1649,70,49,0,30,0,4,71843,0,0,1512570880,528,23519770,0,0,20,20,12,8,840,504,336,0,840,20,10
2,21,425,424,1652,1523,53,48,0,0,0,4,71800,0,0,1512570880,528,23519770,0,0,20,20,8,12,840,336,504,0,840,20,2
2,21,400,400,1658,1522,52,49,0,14,0,4,71843,0,0,1512570880,528,23519770,0,0,20,20,8,12,840,336,504,0,840,20,8
2,21,621,621,2195,1756,53,48,0,0,11,4,71800,0,0,1512570880,528,23519770,0,0,20,20,8,12,840,336,504,0,840,20,9
2,21,415,414,1702,1556,50,50,0,0,0,4,71800,0,0,1512570880,528,23519770,0,0,20,20,8,12,840,336,504,0,840,20,3
2,21,531,531,2131,1862,83,51,0,0,1,4,71800,0,0,1512570880,528,23519770,0,0,20,20,8,12,840,336,504,0,840,20,4
2,21,498,498,1928,1711,73,49,0,16,0,4,71843,0,0,1512570880,528,23519770,0,0,20,20,12,8,840,504,336,0,840,20,5
2,21,418,417,1633,1484,47,48,0,0,0,4,71800,0,0,1512570880,528,23519770,0,0,20,20,12,8,840,504,336,0,840,20,7
