numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
3,41,538,478,2130,2003,104,87,0,18,0,4,1644235,0,0,866974720,528,23628632,0,0,20,20,10,10,840,420,420,0,840,20,2
3,41,534,465,2070,1966,98,88,0,44,0,4,1644235,0,0,866974720,528,23628632,0,0,20,20,10,10,840,420,420,0,840,20,10
3,41,572,514,2165,2080,90,84,0,18,0,4,1644149,0,0,866974720,528,23628632,0,0,20,20,10,10,840,420,420,0,840,20,3
3,41,986,910,3238,2528,152,139,0,10,0,4,1644278,0,0,866974720,528,23628632,0,0,20,20,10,10,840,420,420,0,840,20,1
3,41,495,436,2071,1976,91,88,0,45,0,3,1644235,0,0,866974720,528,23628632,0,0,20,20,10,10,840,420,420,0,840,20,7
3,41,517,458,2028,1929,93,89,0,29,0,4,1644235,0,0,866974720,528,23628632,0,0,20,20,10,10,840,420,420,0,840,20,6
3,41,539,476,2049,1987,83,86,0,0,0,4,1644063,0,0,866974720,528,23628632,0,0,20,20,10,10,840,420,420,0,840,20,4
3,41,515,456,2020,1944,90,86,0,28,0,3,1644192,0,0,866974720,528,23628632,0,0,20,20,10,10,840,420,420,0,840,20,8
3,41,497,437,2075,2024,86,88,0,0,0,3,1644235,0,0,866974720,528,23628632,0,0,20,20,10,10,840,420,420,0,840,20,9
3,41,522,463,2116,2004,85,87,0,55,0,4,1644063,0,0,866974720,528,23628632,0,0,20,20,10,10,840,420,420,0,840,20,5
