numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
2,21,4528,4528,18964,18094,52,51,0,66,0,4,72015,0,0,4739563520,5070,366502880,0,0,20,20,12,8,840,504,336,0,840,20,5
2,21,4878,4878,19380,18275,43,46,0,311,0,3,71886,0,0,4739563520,5070,366500303,0,0,20,20,8,12,840,336,504,0,840,20,4
2,21,4557,4557,19309,18317,51,48,0,98,0,4,72015,0,0,4739563520,5070,366502880,0,0,20,20,8,12,840,336,504,0,840,20,9
2,21,4632,4631,19703,18559,68,48,0,236,0,4,72015,0,0,4739563520,5070,366501591,0,0,20,20,8,12,840,336,504,0,840,20,1
2,21,4633,4633,19459,18454,52,49,0,58,0,4,71929,0,0,4739563520,5070,366502880,0,0,20,20,12,8,840,504,336,0,840,20,3
2,21,4535,4535,19213,18243,50,51,0,73,0,4,71972,0,0,4739563520,5070,366501591,0,0,20,20,8,12,840,336,504,0,840,20,8
2,21,4537,4537,19319,18404,49,46,0,72,0,4,71972,0,0,4739563520,5070,366502880,0,0,20,20,8,12,840,336,504,0,840,20,10
2,21,4519,4519,19013,18131,49,49,0,91,0,4,72015,0,0,4739563520,5070,366502880,0,0,20,20,12,8,840,504,336,0,840,20,2
2,21,4510,4510,19417,18543,48,49,0,56,0,3,72015,0,0,4739563520,5070,366502880,0,0,20,20,12,8,840,504,336,0,840,20,6
2,21,4545,4544,19393,18453,50,48,0,97,0,3,72015,0,0,4739563520,5070,366502880,0,0,20,20,8,12,840,336,504,0,840,20,7
