numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
2,21,6532,6532,27673,26369,62,54,0,369,0,3,81340,0,0,8766095360,5070,366502880,0,0,20,20,8,12,840,336,504,0,840,20,5
2,21,6515,6515,27908,26527,53,57,0,361,0,4,81340,0,0,8766095360,5070,366502880,0,0,20,20,12,8,840,504,336,0,840,20,9
2,21,6441,6440,27845,26396,58,55,0,516,0,4,81340,0,0,8766095360,5070,366502880,0,0,20,20,12,8,840,504,336,0,840,20,2
2,21,6404,6404,27704,26388,60,55,0,391,0,4,81340,0,0,8766095360,5070,366502880,0,0,20,20,12,8,840,504,336,0,840,20,3
2,21,6462,6462,27264,26174,54,55,0,276,0,4,81340,0,0,8766095360,5070,366502880,0,0,20,20,8,12,840,336,504,0,840,20,4
2,21,6271,6271,27650,26422,78,58,0,320,0,4,81340,0,0,8766095360,5070,366502880,0,0,20,20,12,8,840,504,336,0,840,20,8
2,21,6342,6341,27035,25950,56,55,0,263,0,4,81340,0,0,8766095360,5070,366502880,0,0,20,20,12,8,840,504,336,0,840,20,6
2,21,7788,7788,35943,29718,61,65,0,2173,0,3,81340,0,0,8766095360,5070,366500302,0,0,20,20,10,10,840,420,420,0,840,20,1
2,21,6603,6603,27662,26320,58,55,0,358,0,4,81340,0,0,8766095360,5070,366502880,0,0,20,20,12,8,840,504,336,0,840,20,7
2,21,6272,6272,27041,25872,52,55,0,287,0,4,81340,0,0,8766095360,5070,366502880,0,0,20,20,12,8,840,504,336,0,840,20,10
