numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
3,241,15862,15858,75193,74051,416,545,0,651,18,1534,908178,0,0,8388608000,5070,367550445,0,0,50486551,600,376,224,574858328,539745126,35113202,0,574858328,50486551,5
3,241,15823,15817,75454,74131,431,544,0,752,16,1356,908307,0,0,8388608000,5070,367550445,0,0,50486551,600,307,293,574858328,545243313,29615015,0,574858328,50486551,6
3,241,15820,15814,75869,74522,421,542,0,784,3,1410,908264,0,0,8388608000,5070,367608416,0,0,50486551,600,306,294,574858328,545160653,29697675,0,574858328,50486551,8
3,241,15775,15771,74668,73721,417,540,0,609,7,1408,908264,0,0,8388608000,5070,367550003,0,0,50486551,600,377,223,574858328,545040789,29817539,0,574858328,50486551,9
3,241,15707,15702,74825,73842,406,536,0,688,15,1410,908049,0,0,8388608000,5070,367608416,0,0,50486551,600,306,294,574858328,542237148,32621180,0,574858328,50486551,2
3,241,15818,15813,75105,73872,441,538,0,705,38,1421,908178,0,0,8388608000,5070,367550445,0,0,50486551,600,377,223,574858328,542360471,32497857,0,574858328,50486551,4
3,241,15704,15700,74542,73589,422,539,0,643,20,1383,908178,0,0,8388608000,5070,367550445,0,0,50486551,600,377,223,574858328,545040789,29817539,0,574858328,50486551,7
3,241,15960,15955,75855,74693,416,542,0,691,14,1384,908221,0,0,8388608000,5070,367608416,0,0,50486551,600,379,221,574858328,545237291,29621037,0,574858328,50486551,10
3,241,15753,15748,75819,74518,423,541,0,769,99,1401,908092,0,0,8388608000,5070,367608416,0,0,50486551,600,368,232,574858328,533986134,40872194,0,574858328,50486551,1
3,241,15818,15814,75159,74070,433,535,0,742,17,1426,908307,0,0,8388608000,5070,367608416,0,0,50486551,600,377,223,574858328,542360471,32497857,0,574858328,50486551,3
