numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
2,21,59828,59827,362539,332949,55,55,0,18670,0,3,74380,3713125688,22481469440,9059696640,50513,3939111718,0,0,20,20,7,13,840,294,546,0,840,20,5
2,21,58215,58215,355085,330441,62,57,0,13549,0,4,74380,3713125688,22481469440,9059696640,50513,3933809729,0,0,20,20,9,11,840,378,462,0,840,20,2
2,21,59156,59155,365535,335359,53,53,0,20050,0,4,74380,3713125688,22481469440,9059696640,50513,3939111718,0,0,20,20,7,13,840,294,546,0,840,20,8
2,21,60371,60371,362836,332057,55,52,0,19480,0,4,74380,3713125688,22481469440,9059696640,50513,3939111760,0,0,20,20,4,16,840,168,672,0,840,20,4
2,21,59974,59974,359477,331949,55,55,0,17586,0,3,74380,3713125688,22481469440,9059696640,50513,3921895445,0,0,20,20,9,11,840,378,462,0,840,20,7
2,21,53661,53660,338349,319964,131,83,0,8359,0,3,74380,3713125688,22481469440,9059696640,50513,3916580936,0,0,20,20,5,15,840,210,630,0,840,20,1
2,21,59452,59452,363841,333524,53,54,0,18653,0,3,74380,3713125688,22481469440,9059696640,50513,3933809687,0,0,20,20,9,11,840,378,462,0,840,20,3
2,21,58799,58799,359689,331708,62,53,0,17320,0,3,74380,3713125688,22481469440,9059696640,50513,3939111760,0,0,20,20,9,11,840,378,462,0,840,20,10
2,21,54196,54195,343442,317607,56,53,0,16023,0,3,74380,3713125688,22481469440,9059696640,50513,3916581217,0,0,20,20,7,13,840,294,546,0,840,20,6
2,21,55989,55989,346738,318718,65,53,0,17738,0,4,74380,3713125688,22481469440,9059696640,50513,3939099307,0,0,20,20,5,15,840,210,630,0,840,20,9
