numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
2,21,75129,75129,503043,455959,69,65,0,29829,0,4,83060,6348455968,41674604544,18589155328,50513,3913992056,0,0,20,20,6,14,840,252,588,0,840,20,1
2,21,81931,81930,500589,468626,62,59,0,19597,0,3,83060,6350078734,41674604544,18589155328,50513,3933809729,0,0,20,20,9,11,840,378,462,0,840,20,6
2,21,70994,70994,475700,446391,61,62,0,17418,0,4,83060,6348455968,41674604544,18589155328,50513,3919438090,0,0,20,20,7,13,840,294,546,0,840,20,4
2,21,75862,75861,486927,451753,69,63,0,22157,0,4,83060,6348455968,41674604544,18589155328,50513,3919438090,0,0,20,20,6,14,840,252,588,0,840,20,5
2,21,75541,75541,489331,451366,66,63,0,24447,0,4,83060,6348455968,41674604544,18589155328,50513,3919438090,0,0,20,20,8,12,840,336,504,0,840,20,3
2,21,75213,75212,495647,457191,59,57,0,24712,0,4,83060,6348455968,41674604544,18589155328,50513,3913992056,0,0,20,20,6,14,840,252,588,0,840,20,2
2,21,74103,74102,486083,449029,58,60,0,24280,0,3,83060,6350086498,41674604544,18589155328,50513,3931208329,0,0,20,20,6,14,840,252,588,0,840,20,7
2,21,71265,71265,475581,445057,60,60,0,19963,0,4,83060,6340407346,41607495680,18555600896,50513,3913992056,0,0,20,20,6,14,840,252,588,0,840,20,8
2,21,72331,72330,483483,450305,60,59,0,21703,0,3,83060,6350090677,41674604544,18589155328,50513,3939074590,0,0,20,20,6,14,840,252,588,0,840,20,9
2,21,73955,73955,489422,455035,64,62,0,22467,0,4,83060,6340404997,41607495680,18555600896,50513,3939074352,0,0,20,20,7,13,840,294,546,0,840,20,10
