numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
3,241,101029,101024,726544,716112,413,533,0,8219,492,12579,914800,0,0,53687091200,50513,3806698960,0,0,504931085,600,337,263,5744136754,5361321394,382815360,0,5744136754,504931085,8
3,241,104431,104425,732561,717158,453,540,0,7838,549,12671,914800,0,0,53687091200,50513,3806698960,0,0,504931085,600,340,260,5744136754,5391129807,353006947,0,5744136754,504931085,3
3,241,99561,99557,727317,716793,421,527,0,7972,59,12206,914800,0,0,53687091200,50513,3819011650,0,0,504931085,600,346,254,5744136754,5548144201,195992553,0,5744136754,504931085,4
3,241,97946,97941,726646,715513,423,532,0,8118,97,12425,914800,0,0,53687091200,50513,3831004787,0,0,504931085,600,345,255,5744136754,5519333482,224803272,0,5744136754,504931085,6
3,241,101925,101919,725919,714792,405,536,0,8149,321,12552,914800,0,0,53687091200,50513,3818692097,0,0,504931085,600,338,262,5744136754,5359430378,384706376,0,5744136754,504931085,5
3,241,97735,97730,723844,713321,400,536,0,8034,66,12282,914800,0,0,53687091200,50513,3819011650,0,0,504931085,600,337,263,5744136754,5492813799,251322955,0,5744136754,504931085,2
3,241,98957,98952,730836,717678,426,557,0,10250,14,12602,914800,0,0,53687091200,50513,3831004787,0,0,504931085,600,344,256,5744136754,5546814303,197322451,0,5744136754,504931085,1
3,241,98205,98200,726209,714142,447,540,0,9064,59,12433,914800,0,0,53687091200,50513,3818692097,0,0,504931085,600,346,254,5744136754,5547970109,196166645,0,5744136754,504931085,10
3,241,99458,99453,726382,715124,448,538,0,8567,78,12738,914800,0,0,53687091200,50513,3831004787,0,0,504931085,600,345,255,5744136754,5548187883,195948871,0,5744136754,504931085,9
3,241,102975,102971,728862,716705,410,538,0,8135,522,13411,914800,0,0,53687091200,50513,3806698960,0,0,504931085,600,340,260,5744136754,5391129807,353006947,0,5744136754,504931085,7
