numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
2,41,141,141,405,294,86,89,0,0,0,7,143600,0,0,2707423232,120,2360939,0,0,40,40,24,16,1680,1008,672,0,1680,40,6
2,41,149,149,435,289,93,91,0,23,0,7,143729,0,0,2707423232,120,2360939,0,0,40,40,24,16,1680,1008,672,0,1680,40,3
2,41,148,148,421,300,94,92,0,0,0,8,143600,0,0,2707423232,120,2360939,0,0,40,40,16,24,1680,672,1008,0,1680,40,2
2,41,151,151,421,276,81,86,0,15,0,7,143643,0,0,2707423232,120,2360939,0,0,40,40,24,16,1680,1008,672,0,1680,40,9
2,41,141,140,411,294,74,86,0,8,0,8,143643,0,0,2707423232,120,2360939,0,0,40,40,24,16,1680,1008,672,0,1680,40,5
2,41,130,130,392,274,74,86,0,6,0,7,143643,0,0,2707423232,120,2360939,0,0,40,40,16,24,1680,672,1008,0,1680,40,10
2,41,152,151,478,297,82,91,0,17,0,7,143686,0,0,2707423232,120,2360939,0,0,40,40,24,16,1680,1008,672,0,1680,40,7
2,41,131,130,369,283,81,87,0,0,0,7,143600,0,0,2707423232,120,2360939,0,0,40,40,16,24,1680,672,1008,0,1680,40,1
2,41,144,143,402,285,81,86,0,0,0,7,143600,0,0,2707423232,120,2360939,0,0,40,40,24,16,1680,1008,672,0,1680,40,8
2,41,145,145,409,281,83,87,0,0,0,7,143600,0,0,2707423232,120,2360939,0,0,40,40,16,24,1680,672,1008,0,1680,40,4
