numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
3,81,294,263,367,325,147,146,0,11,0,6,237578,0,0,1374014464,120,2378752,0,0,40,40,34,6,1680,1428,252,0,1680,40,8
3,81,301,275,377,358,160,147,0,0,0,7,237836,0,0,1374014464,120,2378752,0,0,40,40,34,6,1680,1428,252,0,1680,40,4
3,81,285,254,348,325,154,141,0,19,0,6,237922,0,0,1374014464,120,2378752,0,0,40,40,34,6,1680,1428,252,0,1680,40,9
3,81,287,257,350,328,132,141,0,0,0,6,237793,0,0,1374014464,120,2378752,0,0,40,40,34,6,1680,1428,252,0,1680,40,6
3,81,299,271,377,343,155,150,0,0,0,7,238137,0,0,1374014464,120,2378752,0,0,40,40,34,6,1680,1428,252,0,1680,40,10
3,81,348,312,364,356,199,145,0,0,0,6,238395,0,0,1374014464,120,2378752,0,0,40,40,34,6,1680,1428,252,0,1680,40,7
3,81,283,250,359,321,138,145,0,0,0,6,237965,0,0,1374014464,120,2378752,0,0,40,40,34,6,1680,1428,252,0,1680,40,2
3,81,301,265,359,331,144,150,0,0,0,7,238610,0,0,1374014464,120,2378752,0,0,40,40,34,6,1680,1428,252,0,1680,40,3
3,81,405,339,450,380,313,266,0,20,0,7,238094,0,0,1374014464,120,2378752,0,0,40,40,34,6,1680,1428,252,0,1680,40,1
3,81,292,260,395,358,146,146,0,0,0,7,238008,0,0,1374014464,120,2378752,0,0,40,40,34,6,1680,1428,252,0,1680,40,5
