numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
3,281,1292,1287,2185,2081,408,510,0,16,0,388,906286,0,0,6727794688,120,2378752,0,0,506025,600,445,155,5771315,5615651,155664,0,5771315,506025,6
3,281,1319,1314,2261,2121,390,501,0,30,4,395,906329,0,0,6727794688,120,2378752,0,0,506025,600,445,155,5771315,5615651,155664,0,5771315,506025,2
3,281,1427,1421,2349,2214,459,565,0,8,11,415,906243,0,0,6727794688,120,2378752,0,0,506025,600,445,155,5771315,5615651,155664,0,5771315,506025,9
3,281,1393,1389,2424,2168,420,517,0,43,10,415,906329,0,0,6727794688,120,2378752,0,0,506025,600,445,155,5771315,5615651,155664,0,5771315,506025,3
3,281,1366,1362,2279,2141,415,509,8,17,8,399,906329,0,0,6727794688,120,2378752,0,0,506025,600,445,155,5771315,5615651,155664,0,5771315,506025,4
3,281,1328,1323,2289,2065,403,497,0,28,13,385,906329,0,0,6727794688,120,2378752,0,0,506025,600,445,155,5771315,5615651,155664,0,5771315,506025,1
3,281,1379,1374,2309,2171,469,517,0,19,11,393,906286,0,0,6727794688,120,2378752,0,0,506025,600,445,155,5771315,5615651,155664,0,5771315,506025,5
3,281,1449,1444,2342,2200,476,568,0,33,2,406,906372,0,0,6727794688,120,2378752,0,0,506025,600,445,155,5771315,5615651,155664,0,5771315,506025,10
3,281,1340,1336,2248,2142,425,531,0,9,4,384,906243,0,0,6727794688,120,2378752,0,0,506025,600,445,155,5771315,5615651,155664,0,5771315,506025,7
3,281,1440,1435,2413,2225,459,559,0,23,25,413,906329,0,0,6727794688,120,2378752,0,0,506025,600,445,155,5771315,5615651,155664,0,5771315,506025,8
